RECORDNAME,INTID,NBL2,NBL,NBT,NBR,SBL,SBT,SBR,EBU,EBL,EBT,EBR,EBR2,WBU,WBL,WBT,WBR,NEL,NET,NER,NWL2,NWL,NWT,NWR,SEL,SET,SER,SER2,SWL,SWT,SWR,PED,HOLD
Lost Time Adjust,5,,0,-2,0,0,-2,-2,0,0,-2,0,,0,0,-2,0,,,,,,,,,,,,,,,,
IdealFlow,5,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,5,,1770,5085,1583,1770,5085,1583,0,1770,3033,0,,0,3433,1863,1583,,,,,,,,,,,,,,,,
SatFlowPerm,5,,939,5085,1583,922,5085,1583,0,1770,3033,0,,0,3433,1863,1583,,,,,,,,,,,,,,,,
Allow RTOR,5,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,5,,0,0,142,0,0,188,0,0,589,0,,0,0,0,109,,,,,,,,,,,,,,,,
Volume,5,,199,390,131,82,357,66,0,5,2,37,,0,22,10,63,,,,,,,,,,,,,,,,
Peds,5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,5,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,
Growth,5,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,5,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,5,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,5,,,940,,,608,,,,403,,,,,1188,,,,,,,,,,,,,,,,,
TravelTime,5,,,18.3,,,11.8,,,,9.2,,,,,27,,,,,,,,,,,,,,,,,
Right Channeled,5,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,5,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,5,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,5,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,5,,50,50,50,50,50,50,,50,50,,,,50,50,50,,,,,,,,,,,,,,,,
LastDetect,5,,0,0,0,0,0,0,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase1,5,,3,8,5,7,4,4,,1,6,,,,5,2,7,,,,,,,,,,,,,,,,
DetectPhase2,5,,0,0,0,0,0,0,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase3,5,,0,0,0,0,0,0,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase4,5,,0,0,0,0,0,0,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
SwitchPhase,5,,0,0,0,0,0,0,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
numDetects,5,,1,1,1,1,1,1,,1,1,,,,1,1,1,,,,,,,,,,,,,,,,
DetectPos1,5,,0,0,0,0,0,0,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectSize1,5,,50,50,50,50,50,50,,50,50,,,,50,50,50,,,,,,,,,,,,,,,,
DetectType1,5,,3,3,3,3,3,3,,3,3,,,,3,3,3,,,,,,,,,,,,,,,,
DetectExtend1,5,,0,0,0,0,0,0,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectQueue1,5,,0,0,0,0,0,0,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
DetectDelay1,5,,0,0,0,0,0,0,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
Exit Lanes,5,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,5,,216,424,142,89,388,72,0,5,42,0,,0,24,11,68,,,,,,,,,,,,,,,,
Up Node,6,,7002,7002,7002,306,306,306,339,339,339,339,,343,343,343,343,,,,,,,,,,,,,,,,
Dest Node,6,,339,306,343,343,7002,339,339,306,343,7002,,343,7002,339,306,,,,,,,,,,,,,,,,
Lanes,6,,0,4,1,2,3,0,0,1,2,1,,0,0,0,0,,,,,,,,,,,,,,,,
Shared,6,,0,0,,0,0,,,0,3,,,,0,0,,,,,,,,,,,,,,,,,
Width,6,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,6,,130,,150,380,,,,200,,,,,,,,,,,,,,,,,,,,,,,
Taper,6,,25,,25,25,,,,25,,,,,,,,,,,,,,,,,,,,,,,
StLanes,6,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Grade,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,6,,,45,,,45,,,,30,,,,,30,,,,,,,,,,,,,,,,,
Phase1,6,,,6,,8,6,,,,5,,,,,,,,,,,,,,,,,,,,,,
Phase2,6,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase3,6,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
PermPhase1,6,,,,6,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,
LostTime,6,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
Lost Time Adjust,6,,0,-2.5,-2.5,-2.5,-2.5,0,0,-2.6,-2.6,-2.6,,0,0,0,0,,,,,,,,,,,,,,,,
IdealFlow,6,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,6,,0,6408,1583,3433,5085,0,0,1610,2786,1441,,0,0,0,0,,,,,,,,,,,,,,,,
SatFlowPerm,6,,0,6408,1583,3433,5085,0,0,1610,2786,1441,,0,0,0,0,,,,,,,,,,,,,,,,
Allow RTOR,6,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,6,,0,0,258,0,0,0,0,0,78,164,,0,0,0,0,,,,,,,,,,,,,,,,
Volume,6,,0,853,237,69,1041,0,0,294,32,853,,0,0,0,0,,,,,,,,,,,,,,,,
Peds,6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,6,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,
Growth,6,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,6,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,6,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,6,,,1204,,,525,,,,807,,,,,682,,,,,,,,,,,,,,,,,
TravelTime,6,,,18.2,,,8,,,,18.3,,,,,15.5,,,,,,,,,,,,,,,,,
Right Channeled,6,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,6,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,6,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,6,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,6,,,50,50,50,50,,,50,50,50,,,,,,,,,,,,,,,,,,,,,
LastDetect,6,,,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
DetectPhase1,6,,,6,6,8,6,,,5,5,5,,,,,,,,,,,,,,,,,,,,,
DetectPhase2,6,,,7,0,0,7,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
DetectPhase3,6,,,0,0,0,8,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
DetectPhase4,6,,,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
SwitchPhase,6,,,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
numDetects,6,,,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
DetectPos1,6,,,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
DetectSize1,6,,,50,50,50,50,,,50,50,50,,,,,,,,,,,,,,,,,,,,,
DetectType1,6,,,3,3,3,3,,,3,3,3,,,,,,,,,,,,,,,,,,,,,
DetectExtend1,6,,,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
DetectQueue1,6,,,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
DetectDelay1,6,,,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Exit Lanes,6,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic in shared lane,6,,,,,,,,,*17,,*50,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,6,,0,927,258,75,1132,0,0,266,553,463,,0,0,0,0,,,,,,,,,,,,,,,,
Up Node,7,,10,10,10,225,225,225,484,484,484,484,,326,326,326,326,,,,,,,,,,,,,,,,
Dest Node,7,,484,225,326,326,10,484,484,225,326,10,,326,10,484,225,,,,,,,,,,,,,,,,
Lanes,7,,1,3,0,1,3,0,0,1,1,1,,0,1,1,1,,,,,,,,,,,,,,,,
