[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,4.0
allRedTime,1.0
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.90
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,04/19/2016
ScenarioTime,9:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,2218665,261695,0,,,,,,
2,0,2218123,260485,0,,,,,,
3,1,2217593,260709,0,,,,,,
4,0,2220558,259441,0,,,,,,
6,1,2220753,259817,0,,,,,,
7,1,2220425,259200,0,,,,,,
8,0,2220921,259267,0,,,,,,
9,1,2221234,259729,0,,,,,,
10,1,2220693,258911,0,,,,,,
11,0,2221511,258983,0,,,,,,
12,1,2221753,259376,0,,,,,,
13,1,2221073,258621,0,,,,,,
14,1,2217675,259472,0,,,,,,
15,1,2224180,257800,0,,,,,,
16,0,2222995,258335,0,,,,,,
17,1,2223350,259066,0,,,,,,
18,1,2222780,257893,0,,,,,,
19,0,2222531,258551,0,,,,,,
Positioning Distance,33,,,1174,1174,1174,1174
Positioning Distance2,33,,,2348,2348,2348,2348
Curve Pt X,33,,,,,,
Curve Pt Y,33,,,,,,
Curve Pt Z,33,,,,,,
Link Is Hidden,33,,,false,false,false,false
Street Name Is Hidden,33,,,false,false,false,false
Up ID,58,,,,,33,
Lanes,58,,,,,*2,
Name,58,,,,,Lee Hwy,
Distance,58,,,,,1655,
Speed,58,,,,,40,
Time,58,,,,,28.2,
Grade,58,,,,,0,
Median,58,,,,,12,
Offset,58,,,,,0,
TWLTL,58,,,,,1,
Crosswalk Width,58,,,,,16,
Mandatory Distance,58,,,,,200,
Mandatory Distance2,58,,,,,1761,
Positioning Distance,58,,,,,1174,
Positioning Distance2,58,,,,,2348,
Curve Pt X,58,,,,,,
Curve Pt Y,58,,,,,,
Curve Pt Z,58,,,,,,
Link Is Hidden,58,,,,,false,
Street Name Is Hidden,58,,,,,false,

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,SBR2,EBL,EBT,EBR,WBL,WBT,WBR,NEL2,NEL,NET,NER,SWL,SWT,SWR,PED,HOLD
Up Node,2,14,14,14,1,1,1,,3,3,3,33,33,33,,,,,,,,,
Dest Node,2,3,1,33,33,14,3,,1,33,14,14,3,1,,,,,,,,,
Lanes,2,1,1,0,1,1,0,,1,2,0,1,2,0,,,,,,,,,
Shared,2,0,2,,0,2,,,0,2,,0,2,,,,,,,,,,
Width,2,12,12,12,12,12,12,,12,12,12,12,12,12,,,,,,,,,
Storage,2,115,,,75,,,,150,,,110,,,,,,,,,,,
Taper,2,25,,,25,,,,25,,,25,,,,,,,,,,,
StLanes,2,1,,,1,,,,1,,,1,,,,,,,,,,,
Grade,2,,,,,,,,,,,,,,,,,,,,,,
Speed,2,,35,,,45,,,,40,,,40,,,,,,,,,,
Phase1,2,3,8,,7,4,,,5,2,,1,6,,,,,,,,,,
PermPhase1,2,8,,,4,,,,2,,,6,,,,,,,,,,,
LostTime,2,4,4,4,4,4,4,,4,4,4,4,4,4,,,,,,,,,
Lost Time Adjust,2,-2.1,-1.9,0,-2.1,-1.9,0,,-1.2,-1.2,0,-1.2,-1.2,0,,,,,,,,,
IdealFlow,2,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,1900,1900,,,,,,,,,
SatFlow,2,1770,1833,0,1770,1703,0,,1770,3468,0,1770,3493,0,,,,,,,,,
SatFlowPerm,2,272,1833,0,1196,1703,0,,222,3468,0,779,3493,0,,,,,,,,,
Allow RTOR,2,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,
SatFlowRTOR,2,0,7,0,0,71,0,,0,16,0,0,9,0,,,,,,,,,
Volume,2,118,140,17,73,188,256,,163,426,66,41,812,74,,,,,,,,,
Peds,2,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,
Bicycles,2,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,
PHF,2,0.90,0.90,0.90,0.90,0.90,0.90,,0.90,0.90,0.90,0.90,0.90,0.90,,,,,,,,,
Growth,2,100,100,100,100,100,100,,100,100,100,100,100,100,,,,,,,,,
HeavyVehicles,2,2,2,2,2,2,2,,2,2,2,2,2,2,,,,,,,,,
BusStops,2,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,
Midblock,2,,0,,,0,,,,0,,,0,,,,,,,,,,
Distance,2,,1108,,,1326,,,,575,,,1272,,,,,,,,,,
TravelTime,2,,21.6,,,20.1,,,,9.8,,,21.7,,,,,,,,,,
Right Channeled,2,,,0,,,0,,,,0,,,0,,,,,,,,,
Alignment,2,0,0,1,0,0,1,,0,0,1,0,0,1,,,,,,,,,
Enter Blocked,2,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,
HeadwayFact,2,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,
Turning Speed,2,15,60,9,15,60,9,,15,60,9,15,60,9,,,,,,,,,
FirstDetect,2,50,50,,50,50,,,50,50,,50,50,,,,,,,,,,
LastDetect,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectPhase1,2,3,8,,7,4,,,5,2,,1,6,,,,,,,,,,
DetectPhase2,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectPhase3,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectPhase4,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
SwitchPhase,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
numDetects,2,1,1,,1,1,,,1,1,,1,1,,,,,,,,,,
DetectPos1,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectSize1,2,50,50,,50,50,,,50,50,,50,50,,,,,,,,,,
DetectType1,2,3,3,,3,3,,,3,3,,3,3,,,,,,,,,,
DetectExtend1,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectQueue1,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
DetectDelay1,2,0,0,,0,0,,,0,0,,0,0,,,,,,,,,,
Exit Lanes,2,,0,,,0,,,,0,,,0,,,,,,,,,,
