[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,08/28/2023
ScenarioTime,10:52 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,3671,8231,0,,,,,,
2,1,5110,8629,0,,,,,,
3,0,4507,8340,0,,,,,,
4,1,4493,8585,0,,,,,,
5,1,4588,8008,0,,,,,,
6,3,-10209,4050,0,,,,,,
7,0,3701,8356,0,,,,,,
8,1,3701,8548,0,,,,,,
9,0,36,8837,0,,,,,,
10,0,1443,8710,0,,,,,,
11,1,1434,9006,0,,,,,,
12,1,1451,8453,0,,,,,,
13,1,-10083,4254,0,,,,,,
14,0,-1294,8642,0,,,,,,
15,1,-1309,8967,0,,,,,,
16,1,-1276,8264,0,,,,,,
17,1,46,9161,0,,,,,,
18,1,44,8349,0,,,,,,
20,0,-2767,8437,0,,,,,,
21,1,-2751,8308,0,,,,,,
Name,18,,Coffee Pot Dr,,,,
Distance,18,,488,,,,
Speed,18,,30,,,,
Time,18,,11.1,,,,
Grade,18,,0,,,,
Median,18,,12,,,,
Offset,18,,0,,,,
TWLTL,18,,0,,,,
Crosswalk Width,18,,16,,,,
Mandatory Distance,18,,200,,,,
Mandatory Distance2,18,,1320,,,,
Positioning Distance,18,,880,,,,
Positioning Distance2,18,,1760,,,,
Curve Pt X,18,,,,,,
Curve Pt Y,18,,,,,,
Curve Pt Z,18,,,,,,
Link Is Hidden,18,,false,,,,
Street Name Is Hidden,18,,false,,,,
Up ID,20,21,22,24,14,,
Lanes,20,2,2,3,4,,
Name,20,Andante Dr,,SR 89A,SR 89A,,
Distance,20,130,304,3360,1487,,
Speed,20,30,30,35,35,,
Time,20,3.0,6.9,65.5,29.0,,
Grade,20,0,0,0,0,,
Median,20,12,12,12,12,,
Offset,20,0,0,0,0,,
TWLTL,20,0,0,0,0,,
Crosswalk Width,20,16,16,16,16,,
Mandatory Distance,20,583,583,583,583,,
Mandatory Distance2,20,1320,1320,1539,1539,,
Positioning Distance,20,880,880,1026,1026,,
Positioning Distance2,20,1760,1760,2052,2052,,
Curve Pt X,20,,,-3867,,,
Curve Pt Y,20,,,8243,,,
Curve Pt Z,20,,,0,,,
Link Is Hidden,20,false,false,false,false,,
Street Name Is Hidden,20,false,false,false,false,,
Up ID,21,,20,,,,
Lanes,21,,1,,,,
Name,21,,Andante Dr,,,,
Distance,21,,130,,,,
Speed,21,,30,,,,
Time,21,,3.0,,,,
Grade,21,,0,,,,
Median,21,,12,,,,
Offset,21,,0,,,,
TWLTL,21,,0,,,,
Crosswalk Width,21,,16,,,,
Mandatory Distance,21,,200,,,,
Mandatory Distance2,21,,1320,,,,
Positioning Distance,21,,880,,,,
Positioning Distance2,21,,1760,,,,
Curve Pt X,21,,,,,,
Curve Pt Y,21,,,,,,
Curve Pt Z,21,,,,,,
Link Is Hidden,21,,false,,,,
Street Name Is Hidden,21,,false,,,,
Up ID,22,20,,,,,
Lanes,22,1,,,,,
Name,22,,,,,,
Distance,22,304,,,,,
Speed,22,30,,,,,
Time,22,6.9,,,,,
Grade,22,0,,,,,
Median,22,12,,,,,
Offset,22,0,,,,,
TWLTL,22,0,,,,,
Crosswalk Width,22,16,,,,,
Mandatory Distance,22,200,,,,,
Mandatory Distance2,22,1320,,,,,
Positioning Distance,22,880,,,,,
Positioning Distance2,22,1760,,,,,
Curve Pt X,22,,,,,,
Curve Pt Y,22,,,,,,
Curve Pt Z,22,,,,,,
Link Is Hidden,22,false,,,,,
Street Name Is Hidden,22,false,,,,,
Up ID,24,26,25,31,20,,
Lanes,24,2,2,3,4,,
Name,24,Dry Creek Rd,,SR 89A,SR 89A,,
Distance,24,281,303,5690,3360,,
Speed,24,30,30,30,30,,
Time,24,6.4,6.9,129.3,76.4,,
Grade,24,0,0,0,0,,
Median,24,12,12,12,12,,
Offset,24,0,0,0,0,,
TWLTL,24,0,0,0,0,,
Crosswalk Width,24,16,16,16,16,,
Mandatory Distance,24,500,500,500,500,,
Mandatory Distance2,24,1320,1320,1320,1320,,
Positioning Distance,24,880,880,880,880,,
Positioning Distance2,24,1760,1760,1760,1760,,
Curve Pt X,24,,-6103,-7976,-5337,,
Curve Pt Y,24,,7926,7140,8237,,
Curve Pt Z,24,,0,0,0,,
Link Is Hidden,24,false,false,false,false,,
Street Name Is Hidden,24,false,false,false,false,,
Up ID,25,24,,,,,
Lanes,25,1,,,,,
Name,25,,,,,,
Distance,25,303,,,,,
Speed,25,30,,,,,
Time,25,6.9,,,,,
Grade,25,0,,,,,
Median,25,12,,,,,
Offset,25,0,,,,,
TWLTL,25,0,,,,,
Crosswalk Width,25,16,,,,,
