INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,,,,,,,,,,,,,,,,,,,
Name,7,107th Ave,Del Webb Blvd,Grand Ave,Grand Ave,,,,,,,,,,,,,,,,,,,,,,,,
Distance,7,512,667,2820,2784,,,,,,,,,,,,,,,,,,,,,,,,
Speed,7,30,30,45,45,,,,,,,,,,,,,,,,,,,,,,,,
Time,7,11.6,15.2,42.7,42.2,,,,,,,,,,,,,,,,,,,,,,,,
Grade,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Median,7,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
Offset,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
TWLTL,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Width,7,16,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance,7,583,583,583,583,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance2,7,1320,1320,1980,1980,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance,7,880,880,1320,1320,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance2,7,1760,1760,2640,2640,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt X,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Y,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Z,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Is Hidden,7,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
Street Name Is Hidden,7,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
Up ID,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,8,Del Webb Blvd,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,8,667,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWLTL,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Width,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance,8,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance2,8,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance,8,880,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance2,8,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt X,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Y,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Z,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Is Hidden,8,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Name Is Hidden,8,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up ID,9,6,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,9,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,
Name,9,103rd Ave,103rd Ave,Grand Ave,Grand Ave,,,,,,,,,,,,,,,,,,,,,,,,
Distance,9,575,365,2784,2966,,,,,,,,,,,,,,,,,,,,,,,,
Speed,9,35,30,45,45,,,,,,,,,,,,,,,,,,,,,,,,
Time,9,11.2,8.3,42.2,44.9,,,,,,,,,,,,,,,,,,,,,,,,
Grade,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Median,9,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
Offset,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
TWLTL,9,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Width,9,16,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance,9,583,583,583,583,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance2,9,1539,1320,1980,1980,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance,9,1026,880,1320,1320,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance2,9,2052,1760,2640,2640,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt X,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Y,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Z,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Is Hidden,9,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
Street Name Is Hidden,9,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
Up ID,10,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,10,,107th Ave,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,10,,512,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,10,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,10,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Median,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
TWLTL,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Width,10,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance,10,,200,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance2,10,,1320,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance,10,,880,,,,,,,,,,,,,,,,,,,,,,,,,,
