[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/17/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-4957,-133,0,,,,,,
2,0,-2327,-145,0,,,,,,
3,0,-1296,-147,0,,,,,,
4,0,82,-125,0,,,,,,
5,0,409,-133,0,,,,,,
6,0,1327,-127,0,,,,,,
7,0,2935,-116,0,,,,,,
8,0,4222,-97,0,,,,,,
9,0,5520,-77,0,,,,,,
10,1,2934,409,0,,,,,,
11,1,2936,-805,0,,,,,,
12,1,1176,561,0,,,,,,
13,1,1322,-619,0,,,,,,
14,1,4226,-824,0,,,,,,
15,1,-1298,511,0,,,,,,
16,1,-1294,-733,0,,,,,,
17,1,-6797,-138,0,,,,,,
18,1,-2325,453,0,,,,,,
19,1,-2331,-757,0,,,,,,
20,3,-671,-137,0,,,,,,
21,1,-669,255,0,,,,,,
22,1,-729,-463,0,,,,,,
23,3,-3654,-139,0,,,,,,
24,1,-3654,233,0,,,,,,
25,1,-3654,-479,0,,,,,,
26,3,2034,-122,0,,,,,,
27,1,2036,202,0,,,,,,
28,1,2031,-510,0,,,,,,
103,1,-4957,1135,0,,,,,,
104,1,131,1837,0,,,,,,
Crosswalk Width,12,16,,,
Mandatory Distance,12,200,,,
Mandatory Distance2,12,1101,,,
Positioning Distance,12,734,,,
Positioning Distance2,12,1468,,,
Curve Pt X,12,1282,,,
Curve Pt Y,12,339,,,
Curve Pt Z,12,0,,,
Link Is Hidden,12,false,,,
Street Name Is Hidden,12,false,,,
Up ID,13,,6,,
Lanes,13,,*2,,
Name,13,,25th Ave,,
Distance,13,,492,,
Speed,13,,35,,
Time,13,,9.6,,
Grade,13,,0,,
Median,13,,12,,
Offset,13,,0,,
TWLTL,13,,0,,
Crosswalk Width,13,,16,,
Mandatory Distance,13,,200,,
Mandatory Distance2,13,,1539,,
Positioning Distance,13,,1026,,
Positioning Distance2,13,,2052,,
Curve Pt X,13,,,,
Curve Pt Y,13,,,,
Curve Pt Z,13,,,,
Link Is Hidden,13,,false,,
Street Name Is Hidden,13,,false,,
Up ID,14,,8,,
Lanes,14,,1,,
Name,14,,21st Ave,,
Distance,14,,727,,
Speed,14,,25,,
Time,14,,19.8,,
Grade,14,,0,,
Median,14,,0,,
Offset,14,,0,,
TWLTL,14,,0,,
Crosswalk Width,14,,16,,
Mandatory Distance,14,,200,,
Mandatory Distance2,14,,1101,,
Positioning Distance,14,,734,,
Positioning Distance2,14,,1468,,
Curve Pt X,14,,,,
Curve Pt Y,14,,,,
Curve Pt Z,14,,,,
Link Is Hidden,14,,false,,
Street Name Is Hidden,14,,false,,
Up ID,15,3,,,
Lanes,15,*2,,,
Name,15,28th Dr,,,
Distance,15,658,,,
Speed,15,30,,,
Time,15,15.0,,,
Grade,15,0,,,
Median,15,12,,,
Offset,15,0,,,
TWLTL,15,0,,,
Crosswalk Width,15,16,,,
Mandatory Distance,15,200,,,
Mandatory Distance2,15,1320,,,
Positioning Distance,15,880,,,
Positioning Distance2,15,1760,,,
Curve Pt X,15,,,,
Curve Pt Y,15,,,,
Curve Pt Z,15,,,,
Link Is Hidden,15,false,,,
Street Name Is Hidden,15,false,,,
Up ID,16,,3,,
Lanes,16,,3,,
Name,16,,28th Dr,,
Distance,16,,586,,
Speed,16,,30,,
Time,16,,13.3,,
Grade,16,,0,,
Median,16,,0,,
Offset,16,,0,,
TWLTL,16,,0,,
Crosswalk Width,16,,16,,
Mandatory Distance,16,,200,,
Mandatory Distance2,16,,1320,,
Positioning Distance,16,,880,,
Positioning Distance2,16,,1760,,
Curve Pt X,16,,,,
Curve Pt Y,16,,,,
Curve Pt Z,16,,,,
Link Is Hidden,16,,false,,
Street Name Is Hidden,16,,false,,
Up ID,17,,,,1
Lanes,17,,,,3
Name,17,,,,Peoria Ave
Distance,17,,,,1840
Speed,17,,,,40
Time,17,,,,31.4
Grade,17,,,,0
Median,17,,,,12
Offset,17,,,,0
TWLTL,17,,,,1
Crosswalk Width,17,,,,16
Mandatory Distance,17,,,,200
Mandatory Distance2,17,,,,1761
Positioning Distance,17,,,,1174
Positioning Distance2,17,,,,2348
Curve Pt X,17,,,,
Curve Pt Y,17,,,,
Curve Pt Z,17,,,,
Link Is Hidden,17,,,,false
Street Name Is Hidden,17,,,,false
Up ID,18,2,,,
Lanes,18,1,,,
Name,18,31st Ave,,,
Distance,18,598,,,
Speed,18,30,,,
Time,18,13.6,,,
Grade,18,0,,,
Median,18,0,,,
Offset,18,0,,,
TWLTL,18,0,,,
Crosswalk Width,18,16,,,
Mandatory Distance,18,200,,,
Mandatory Distance2,18,1320,,,
Positioning Distance,18,880,,,
Positioning Distance2,18,1760,,,
Curve Pt X,18,,,,
Curve Pt Y,18,,,,
Curve Pt Z,18,,,,
Link Is Hidden,18,false,,,
Street Name Is Hidden,18,false,,,
Up ID,19,,2,,
Lanes,19,,2,,
Name,19,,31st Ave,,
Distance,19,,612,,
Speed,19,,30,,
Time,19,,13.9,,
Grade,19,,0,,
Median,19,,0,,
Offset,19,,0,,
TWLTL,19,,0,,
Crosswalk Width,19,,16,,
Mandatory Distance,19,,200,,
Mandatory Distance2,19,,1320,,
Positioning Distance,19,,880,,
Positioning Distance2,19,,1760,,
Curve Pt X,19,,,,
Curve Pt Y,19,,,,
Curve Pt Z,19,,,,
Link Is Hidden,19,,false,,
Street Name Is Hidden,19,,false,,
Up ID,20,22,21,3,4
Lanes,20,1,1,3,3
Name,20,,,Peoria Ave,Peoria Ave
Distance,20,331,392,625,753
Speed,20,30,30,40,40
Time,20,7.5,8.9,10.7,12.8
Grade,20,0,0,0,0
Median,20,0,0,24,24
Offset,20,0,0,0,0
TWLTL,20,0,0,0,0
Crosswalk Width,20,16,16,16,16
Mandatory Distance,20,200,200,200,200
Mandatory Distance2,20,1320,1320,1761,1761
Positioning Distance,20,880,880,1174,1174
Positioning Distance2,20,1760,1760,2348,2348
Curve Pt X,20,,,,
Curve Pt Y,20,,,,
Curve Pt Z,20,,,,
Link Is Hidden,20,false,false,false,false
Street Name Is Hidden,20,false,false,false,false
Up ID,21,20,,,
Lanes,21,1,,,
Name,21,,,,
Distance,21,392,,,
Speed,21,30,,,
Time,21,8.9,,,
Grade,21,0,,,
Median,21,0,,,
Offset,21,0,,,
TWLTL,21,0,,,
Crosswalk Width,21,16,,,
Mandatory Distance,21,200,,,
Mandatory Distance2,21,1320,,,
Positioning Distance,21,880,,,
Positioning Distance2,21,1760,,,
Curve Pt X,21,,,,
Curve Pt Y,21,,,,
Curve Pt Z,21,,,,
Link Is Hidden,21,false,,,
Street Name Is Hidden,21,false,,,
Up ID,22,,20,,
Lanes,22,,1,,
Name,22,,,,
Distance,22,,331,,
Speed,22,,30,,
Time,22,,7.5,,
Grade,22,,0,,
Median,22,,0,,
Offset,22,,0,,
TWLTL,22,,0,,
Crosswalk Width,22,,16,,
Mandatory Distance,22,,200,,
Mandatory Distance2,22,,1320,,
Positioning Distance,22,,880,,
Positioning Distance2,22,,1760,,
Curve Pt X,22,,,,
Curve Pt Y,22,,,,
Curve Pt Z,22,,,,
Link Is Hidden,22,,false,,
Street Name Is Hidden,22,,false,,
Up ID,23,25,24,1,2
Lanes,23,1,1,3,3
Name,23,,,Peoria Ave,Peoria Ave
Distance,23,340,372,1303,1327
Speed,23,30,30,40,40
Time,23,7.7,8.5,22.2,22.6
Grade,23,0,0,0,0
Median,23,0,0,12,12
Offset,23,0,0,0,0
TWLTL,23,0,0,0,0
Crosswalk Width,23,16,16,16,16
Mandatory Distance,23,200,200,200,200
Mandatory Distance2,23,1320,1320,1761,1761
Positioning Distance,23,880,880,1174,1174
Positioning Distance2,23,1760,1760,2348,2348
Curve Pt X,23,,,,
Curve Pt Y,23,,,,
Curve Pt Z,23,,,,
Link Is Hidden,23,false,false,false,false
Street Name Is Hidden,23,false,false,false,false
Up ID,24,23,,,
Lanes,24,1,,,
Name,24,,,,
Distance,24,372,,,
Speed,24,30,,,
Time,24,8.5,,,
Grade,24,0,,,
Median,24,0,,,
Offset,24,0,,,
TWLTL,24,0,,,
Crosswalk Width,24,16,,,
Mandatory Distance,24,200,,,
Mandatory Distance2,24,1320,,,
Positioning Distance,24,880,,,
Positioning Distance2,24,1760,,,
Curve Pt X,24,,,,
Curve Pt Y,24,,,,
Curve Pt Z,24,,,,
Link Is Hidden,24,false,,,
Street Name Is Hidden,24,false,,,
Up ID,25,,23,,
Lanes,25,,1,,
Name,25,,,,
Distance,25,,340,,
Speed,25,,30,,
Time,25,,7.7,,
Grade,25,,0,,
Median,25,,0,,
Offset,25,,0,,
TWLTL,25,,0,,
Crosswalk Width,25,,16,,
Mandatory Distance,25,,200,,
Mandatory Distance2,25,,1320,,
Positioning Distance,25,,880,,
Positioning Distance2,25,,1760,,
Curve Pt X,25,,,,
Curve Pt Y,25,,,,
Curve Pt Z,25,,,,
Link Is Hidden,25,,false,,
Street Name Is Hidden,25,,false,,
Up ID,26,28,27,6,7
Lanes,26,1,1,3,2
Name,26,,,Peoria Ave,Peoria Ave
Distance,26,388,324,707,901
Speed,26,30,30,40,40
Time,26,8.8,7.4,12.1,15.4
Grade,26,0,0,0,0
Median,26,0,0,12,12
Offset,26,0,0,0,0
TWLTL,26,0,0,1,1
Crosswalk Width,26,16,16,16,16
Mandatory Distance,26,200,200,200,200
Mandatory Distance2,26,1320,1320,1761,1761
Positioning Distance,26,880,880,1174,1174
Positioning Distance2,26,1760,1760,2348,2348
Curve Pt X,26,,,,
Curve Pt Y,26,,,,
Curve Pt Z,26,,,,
Link Is Hidden,26,false,false,false,false
Street Name Is Hidden,26,false,false,false,false
Up ID,27,26,,,
Lanes,27,1,,,
Name,27,,,,
Distance,27,324,,,
Speed,27,30,,,
Time,27,7.4,,,
Grade,27,0,,,
Median,27,0,,,
Offset,27,0,,,
TWLTL,27,0,,,
Crosswalk Width,27,16,,,
Mandatory Distance,27,200,,,
Mandatory Distance2,27,1320,,,
Positioning Distance,27,880,,,
Positioning Distance2,27,1760,,,
Curve Pt X,27,,,,
Curve Pt Y,27,,,,
Curve Pt Z,27,,,,
Link Is Hidden,27,false,,,
Street Name Is Hidden,27,false,,,
Up ID,28,,26,,
Lanes,28,,1,,
Name,28,,,,
Distance,28,,388,,
Speed,28,,30,,
Time,28,,8.8,,
Grade,28,,0,,
Median,28,,0,,
Offset,28,,0,,
TWLTL,28,,0,,
Crosswalk Width,28,,16,,
Mandatory Distance,28,,200,,
Mandatory Distance2,28,,1320,,
Positioning Distance,28,,880,,
Positioning Distance2,28,,1760,,
Curve Pt X,28,,,,
Curve Pt Y,28,,,,
Curve Pt Z,28,,,,
Link Is Hidden,28,,false,,
