Distance,18,,,914,3145,,,,
Speed,18,,,45,45,,,,
Time,18,,,13.8,47.7,,,,
Grade,18,,,0,0,,,,
Median,18,,,24,24,,,,
Offset,18,,,0,0,,,,
TWLTL,18,,,0,0,,,,
Crosswalk Width,18,,,16,16,,,,
Mandatory Distance,18,,,100,100,,,,
Mandatory Distance2,18,,,1980,1980,,,,
Positioning Distance,18,,,1320,1320,,,,
Positioning Distance2,18,,,2640,2640,,,,
Curve Pt X,18,,,-359035,,,,,
Curve Pt Y,18,,,14076,,,,,
Curve Pt Z,18,,,0,,,,,
Link Is Hidden,18,,,false,false,,,,
Street Name Is Hidden,18,,,false,false,,,,
Up ID,19,,,,17,,,,
Lanes,19,,,,2,,,,
Name,19,,,,Greenway Rd,,,,
Distance,19,,,,995,,,,
Speed,19,,,,30,,,,
Time,19,,,,22.6,,,,
Grade,19,,,,0,,,,
Median,19,,,,12,,,,
Offset,19,,,,0,,,,
TWLTL,19,,,,1,,,,
Crosswalk Width,19,,,,16,,,,
Mandatory Distance,19,,,,200,,,,
Mandatory Distance2,19,,,,1320,,,,
Positioning Distance,19,,,,880,,,,
Positioning Distance2,19,,,,1760,,,,
Curve Pt X,19,,,,,,,,
Curve Pt Y,19,,,,,,,,
Curve Pt Z,19,,,,,,,,
Link Is Hidden,19,,,,false,,,,
Street Name Is Hidden,19,,,,false,,,,
Up ID,20,,,,,17,,,
Lanes,20,,,,,1,,,
Name,20,,,,,Verde St,,,
Distance,20,,,,,288,,,
Speed,20,,,,,25,,,
Time,20,,,,,7.9,,,
Grade,20,,,,,0,,,
Median,20,,,,,0,,,
Offset,20,,,,,0,,,
TWLTL,20,,,,,0,,,
Crosswalk Width,20,,,,,16,,,
Mandatory Distance,20,,,,,200,,,
Mandatory Distance2,20,,,,,1101,,,
Positioning Distance,20,,,,,734,,,
Positioning Distance2,20,,,,,1468,,,
Curve Pt X,20,,,,,,,,
Curve Pt Y,20,,,,,,,,
Curve Pt Z,20,,,,,,,,
Link Is Hidden,20,,,,,false,,,
Street Name Is Hidden,20,,,,,false,,,
Up ID,21,22,23,,,,17,46,
Lanes,21,5,4,,,,6,6,
Name,21,Dysart Rd,Dysart Rd,,,,Grand ave,Grand Ave,
Distance,21,623,452,,,,4722,906,
Speed,21,35,35,,,,45,45,
Time,21,12.1,8.8,,,,71.5,13.7,
Grade,21,0,0,,,,0,0,
Median,21,24,24,,,,24,24,
Offset,21,0,0,,,,0,0,
TWLTL,21,0,0,,,,0,0,
Crosswalk Width,21,16,16,,,,16,16,
Mandatory Distance,21,583,583,,,,583,583,
Mandatory Distance2,21,1539,1539,,,,1980,1980,
Positioning Distance,21,1026,1026,,,,1320,1320,
Positioning Distance2,21,2052,2052,,,,2640,2640,
Curve Pt X,21,,,,,,,,
Curve Pt Y,21,,,,,,,,
Curve Pt Z,21,,,,,,,,
Link Is Hidden,21,false,false,,,,false,false,
Street Name Is Hidden,21,false,false,,,,false,false,
Up ID,22,,21,,,,,,
Lanes,22,,2,,,,,,
Name,22,,Dysart Rd,,,,,,
Distance,22,,623,,,,,,
Speed,22,,30,,,,,,
Time,22,,14.2,,,,,,
Grade,22,,0,,,,,,
Median,22,,24,,,,,,
Offset,22,,0,,,,,,
TWLTL,22,,0,,,,,,
Crosswalk Width,22,,16,,,,,,
Mandatory Distance,22,,200,,,,,,
Mandatory Distance2,22,,1320,,,,,,
Positioning Distance,22,,880,,,,,,
Positioning Distance2,22,,1760,,,,,,
Curve Pt X,22,,,,,,,,
Curve Pt Y,22,,,,,,,,
Curve Pt Z,22,,,,,,,,
Link Is Hidden,22,,false,,,,,,
Street Name Is Hidden,22,,false,,,,,,
Up ID,23,21,,,,,,,
Lanes,23,2,,,,,,,
Name,23,Dysart Rd,,,,,,,
Distance,23,452,,,,,,,
Speed,23,30,,,,,,,
Time,23,10.3,,,,,,,
Grade,23,0,,,,,,,
Median,23,12,,,,,,,
Offset,23,0,,,,,,,
TWLTL,23,0,,,,,,,
Crosswalk Width,23,16,,,,,,,
Mandatory Distance,23,200,,,,,,,
Mandatory Distance2,23,1320,,,,,,,
Positioning Distance,23,880,,,,,,,
Positioning Distance2,23,1760,,,,,,,
Curve Pt X,23,,,,,,,,
Curve Pt Y,23,,,,,,,,
Curve Pt Z,23,,,,,,,,
Link Is Hidden,23,false,,,,,,,
Street Name Is Hidden,23,false,,,,,,,
Up ID,24,,,,,,,,28
Lanes,24,,,,,,,,1
Name,24,,,,,,,,Bell Grande Dr
Distance,24,,,,,,,,274
Speed,24,,,,,,,,25
Time,24,,,,,,,,7.5
Grade,24,,,,,,,,0
Median,24,,,,,,,,0
Offset,24,,,,,,,,0
TWLTL,24,,,,,,,,0
Crosswalk Width,24,,,,,,,,16
Mandatory Distance,24,,,,,,,,200
Mandatory Distance2,24,,,,,,,,1101
Positioning Distance,24,,,,,,,,734
Positioning Distance2,24,,,,,,,,1468
Curve Pt X,24,,,,,,,,
Curve Pt Y,24,,,,,,,,
Curve Pt Z,24,,,,,,,,
Link Is Hidden,24,,,,,,,,false
Street Name Is Hidden,24,,,,,,,,false
Up ID,25,48,,18,11,,,,
Lanes,25,1,,3,4,,,,
Name,25,113th Ave,,Grand Ave,Grand Ave,,,,
Distance,25,656,,3145,1028,,,,
Speed,25,30,,45,45,,,,
Time,25,14.9,,47.7,15.6,,,,
Grade,25,0,,0,0,,,,
Median,25,12,,12,12,,,,
Offset,25,0,,0,0,,,,
TWLTL,25,0,,0,0,,,,
Crosswalk Width,25,16,,16,16,,,,
Mandatory Distance,25,583,,583,583,,,,
Mandatory Distance2,25,1320,,1980,1980,,,,
Positioning Distance,25,880,,1320,1320,,,,
Positioning Distance2,25,1760,,2640,2640,,,,
Curve Pt X,25,,,,,,,,
Curve Pt Y,25,,,,,,,,
Curve Pt Z,25,,,,,,,,
Link Is Hidden,25,false,,false,false,,,,
Street Name Is Hidden,25,false,,false,false,,,,
Up ID,26,,,,,29,28,27,
Lanes,26,,,,,2,5,4,
Name,26,,,,,Towne Center Dr,Grand Ave,Grand Ave,
Distance,26,,,,,298,3236,1261,
Speed,26,,,,,25,45,45,
Time,26,,,,,8.1,49.0,19.1,
Grade,26,,,,,0,0,0,
Median,26,,,,,12,24,24,
Offset,26,,,,,0,0,0,
