[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.10
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,09/13/2011

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,93545,-61878,0,,,,,,
2,0,89290,-57617,0,,,,,,
3,0,87004,-55281,0,,,,,,
4,0,83193,-51392,0,,,,,,
5,0,82339,-50510,0,,,,,,
6,0,77833,-46274,0,,,,,,
7,0,73946,-42309,0,,,,,,
8,0,72815,-41148,0,,,,,,
9,0,72422,-40744,0,,,,,,
10,0,71413,-39751,0,,,,,,
11,0,67344,-36917,0,,,,,,
12,0,65902,-36444,0,,,,,,
13,0,65607,-36340,0,,,,,,
21,1,96223,-64530,0,,,,,,
38,1,83189,-50450,0,,,,,,
39,1,83195,-52103,0,,,,,,
40,1,82892,-50165,0,,,,,,
41,2,79318,-47411,0,,,,,,
44,1,77233,-46264,0,,,,,,
45,1,78631,-46264,0,,,,,,
46,1,77831,-46939,0,,,,,,
47,1,77831,-45777,0,,,,,,
49,1,73465,-42788,0,,,,,,
50,1,74372,-41858,0,,,,,,
51,1,72462,-41471,0,,,,,,
52,1,73162,-40829,0,,,,,,
54,1,71059,-40110,0,,,,,,
55,1,71873,-41214,0,,,,,,
56,1,72948,-40264,0,,,,,,
57,1,67332,-36151,0,,,,,,
60,1,67327,-38661,0,,,,,,
63,1,65477,-37884,0,,,,,,
64,1,65497,-37870,0,,,,,,
82,1,92220,-61894,0,,,,,,
Curve Pt Z,10,,,0,,,,,
Link Is Hidden,10,false,,false,false,,,,
Street Name Is Hidden,10,false,,false,false,,,,
Up ID,11,60,57,12,10,,,,
Lanes,11,3,3,5,5,,,,
Name,11,91st Avenue,91st Avenue,Grand Avenue,Grand Avenue,,,,
Distance,11,1744,766,1518,5120,,,,
Speed,11,40,40,21,32,,,,
Time,11,29.7,13.1,49.3,109.1,,,,
Grade,11,0,0,0,0,,,,
Median,11,12,12,24,24,,,,
Offset,11,0,0,0,0,,,,
TWLTL,11,1,0,0,0,,,,
Crosswalk Width,11,16,16,16,16,,,,
Mandatory Distance,11,875,875,875,875,,,,
Mandatory Distance2,11,1761,1761,924,1407,,,,
Positioning Distance,11,1174,1174,616,938,,,,
Positioning Distance2,11,2348,2348,1232,1876,,,,
Curve Pt X,11,,,,69894,,,,
Curve Pt Y,11,,,,-37847,,,,
Curve Pt Z,11,,,,0,,,,
Link Is Hidden,11,false,false,false,false,,,,
Street Name Is Hidden,11,false,false,false,false,,,,
Up ID,12,63,,13,11,,,,
Lanes,12,3,,3,5,,,,
Name,12,SR 101 Loop (NB),,Grand Avenue,Grand Avenue,,,,
Distance,12,1501,,313,1518,,,,
Speed,12,25,,28,27,,,,
Time,12,40.9,,7.6,38.3,,,,
Grade,12,0,,0,0,,,,
Median,12,24,,0,0,,,,
Offset,12,0,,0,0,,,,
TWLTL,12,0,,0,0,,,,
Crosswalk Width,12,16,,16,16,,,,
Mandatory Distance,12,875,,875,875,,,,
Mandatory Distance2,12,1101,,1233,1188,,,,
Positioning Distance,12,734,,822,792,,,,
Positioning Distance2,12,1468,,1644,1584,,,,
Curve Pt X,12,,,,,,,,
Curve Pt Y,12,,,,,,,,
Curve Pt Z,12,,,,,,,,
Link Is Hidden,12,false,,false,false,,,,
Street Name Is Hidden,12,false,,false,false,,,,
