mvmt_id,node_id,ib_link_id,ob_link_id,type,movement_name,num_lanes,volume,ib_lane_indices,ob_lane_indices,sumo_dir,is_turn_bay_connector,control,turning_speed_mps
113_106_94_NBT,106,113_106_bay,106_94,thru,NBT,3,2026.0,"0,1,2","0,1,2",s,False,,26.8224
113_106_7256_NBR,106,113_106_bay,106_7256,right,NBR,1,1.0,0,0,r,False,,4.02336
113_112_to_113_112_bay,113_112_bay_node,113_112,113_112_bay,thru,TURN_BAY_CONNECTOR,2,0.0,"0,0","0,1",s,True,free,
113_112_5265_WBL,112,113_112_bay,112_5265,left,WBL,1,0.0,1,1,l,False,,6.7056
113_112_111_WBT,112,113_112_bay,112_111,thru,WBT,1,0.0,0,0,s,False,,26.8224
113_127_to_113_127_bay,113_127_bay_node,113_127,113_127_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,1,2,2,2","0,1,2,3,4",s,True,free,
113_127_128_SBL,127,113_127_bay,127_128,left,SBL,2,129.0,"3,4","1,0",l,False,,6.7056
113_127_5263_SBT,127,113_127_bay,127_5263,thru,SBT,3,554.0,"0,1,2","0,1,2",s,False,,26.8224
113_127_125_SBR,127,113_127_bay,127_125,right,SBR,1,93.0,0,0,r,False,,4.02336
114_115_to_114_115_bay,114_115_bay_node,114_115,114_115_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
114_115_7305_SBL,115,114_115_bay,115_7305,left,SBL,1,17.0,2,0,l,False,,6.7056
114_115_116_SBT,115,114_115_bay,115_116,thru,SBT,2,619.0,"0,1","0,1",s,False,,26.8224
114_115_7292_SBR,115,114_115_bay,115_7292,right,SBR,1,15.0,0,0,r,False,,4.02336
114_99_to_114_99_bay,114_99_bay_node,114_99,114_99_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,1,1","0,1,2,3",s,True,free,
114_99_97_NBL,99,114_99_bay,99_97,left,NBL,2,245.0,"2,3","2,1",l,False,,6.7056
114_99_525_NBT,99,114_99_bay,99_525,thru,NBT,2,1048.0,"0,1","0,1",s,False,,26.8224
114_99_102_NBR,99,114_99_bay,99_102,right,NBR,1,141.0,0,0,r,False,,4.02336
115_114_to_115_114_bay,115_114_bay_node,115_114,115_114_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
115_114_7258_NBL,114,115_114_bay,114_7258,left,NBL,1,30.0,2,0,l,False,,6.7056
115_114_99_NBT,114,115_114_bay,114_99,thru,NBT,2,1369.0,"0,1","0,1",s,False,,26.8224
115_114_7259_NBR,114,115_114_bay,114_7259,right,NBR,1,23.0,0,0,r,False,,4.02336
115_116_to_115_116_bay,115_116_bay_node,115_116,115_116_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
115_116_7288_SBL,116,115_116_bay,116_7288,left,SBL,1,46.0,2,0,l,False,,6.7056
