node_id,x_coord,y_coord,node_type,INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,INTID_base,TYPE_DESC
181,-111.93856909199945,33.36376944220424,Signalized,181,0,17110,5510,0,,,,,,,0,Signalized
182,-111.90068129547907,33.37774176745233,External Node,182,1,28677,10596,0,,,,,,,0,External Node
183,-111.92864902249721,33.363796796669206,Signalized,183,0,20139,5520,0,,,,,,,0,Signalized
184,-111.91999966570063,33.3637877946331,Signalized,184,0,22780,5517,0,,,,,,,0,Signalized
185,-111.91065362976096,33.37223410792564,External Node,185,1,25633,8591,0,,,,,,,0,External Node
186,-111.91133393634132,33.363775438747034,Signalized,186,0,25426,5513,0,,,,,,,0,Signalized
187,-111.96193741709718,33.34556008434142,External Node,187,1,9973,-1115,0,,,,,,,0,External Node
188,-111.90266818392602,33.36383118178175,Signalized,188,0,28072,5534,0,,,,,,,0,Signalized
189,-111.97167910917838,33.34676954268747,External Node,189,1,6998,-674,0,,,,,,,0,External Node
190,-111.95449624010038,33.35198665526618,External Node,190,1,12246,1223,0,,,,,,,0,External Node
191,-111.8941268744183,33.363880864899755,Signalized,191,0,30680,5553,0,,,,,,,0,Signalized
192,-111.90072315224133,33.37958028736253,External Node,192,1,28664,11265,0,,,,,,,0,External Node
193,-111.92862326685031,33.35788552034485,Signalized,193,0,20147,3369,0,,,,,,,0,Signalized
194,-111.95846772309139,33.34975447164894,External Node,194,1,11033,411,0,,,,,,,0,External Node
195,-111.91132521890287,33.35971916543421,Signalized,195,0,25429,4037,0,,,,,,,0,Signalized
196,-111.94586804580534,33.35484302965839,Signalized,196,0,14881,2262,0,,,,,,,0,Signalized
197,-111.9285938932007,33.356566405054096,Signalized,197,0,20156,2889,0,,,,,,,0,Signalized
198,-111.9112965593372,33.35674016198737,Signalized,198,0,25438,2953,0,,,,,,,0,Signalized
199,-111.88771563162291,33.34947000976019,External Node,199,1,32640,310,0,,,,,,,0,External Node
200,-111.92067504944247,33.37911978910658,External Node,200,1,22573,11096,0,,,,,,,0,External Node
201,-111.94006546426148,33.41687717747903,Unsignalized,201,3,16654,24835,0,,,,,,,0,Unsignalized
