RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Crosswalk Width,31,16,16,16,16,,,,
Mandatory Distance,31,458,458,458,458,,,,
Mandatory Distance2,31,1320,1320,1320,1320,,,,
Positioning Distance,31,880,880,880,880,,,,
Positioning Distance2,31,1760,1760,1760,1760,,,,
Curve Pt X,31,,,,,,,,
Curve Pt Y,31,,,,,,,,
Curve Pt Z,31,,,,,,,,
Link Is Hidden,31,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,31,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,32,355,,,,,,,
Lanes,32,2,,,,,,,
Name,32,I-10 WB on-ramp,,,,,,,
Distance,32,572,,,,,,,
Speed,32,30,,,,,,,
Time,32,13,,,,,,,
Grade,32,0,,,,,,,
Median,32,0,,,,,,,
Offset,32,0,,,,,,,
TWLTL,32,0,,,,,,,
Crosswalk Width,32,16,,,,,,,
Mandatory Distance,32,200,,,,,,,
Mandatory Distance2,32,1320,,,,,,,
Positioning Distance,32,880,,,,,,,
Positioning Distance2,32,1760,,,,,,,
Curve Pt X,32,,,,,,,,
Curve Pt Y,32,,,,,,,,
Curve Pt Z,32,,,,,,,,
Link Is Hidden,32,FALSE,,,,,,,
Street Name Is Hidden,32,FALSE,,,,,,,
Up ID,33,49,18,48,494,,,,
Lanes,33,4,4,2,1,,,,
Name,33,Rural Road,Rural Road,6th Street,,,,,
Distance,33,923,1557,866,290,,,,
Speed,33,35,35,30,30,,,,
Time,33,18,30.3,19.7,6.6,,,,
Grade,33,0,0,0,0,,,,
Median,33,24,24,0,0,,,,
Offset,33,0,0,0,0,,,,
TWLTL,33,0,0,0,0,,,,
Crosswalk Width,33,16,16,16,16,,,,
Mandatory Distance,33,458,458,458,458,,,,
Mandatory Distance2,33,1539,1539,1320,1320,,,,
Positioning Distance,33,1026,1026,880,880,,,,
Positioning Distance2,33,2052,2052,1760,1760,,,,
Curve Pt X,33,,,20552,,,,,
Curve Pt Y,33,,,27599,,,,,
Curve Pt Z,33,,,0,,,,,
Link Is Hidden,33,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,33,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,34,508,502,35,36,,,,
Lanes,34,2,2,3,3,,,,
Name,34,,Lindon,University Drive,University Drive,,,,
Distance,34,136,611,1290,1324,,,,
Speed,34,30,30,40,40,,,,
Time,34,3.1,13.9,22,22.6,,,,
Grade,34,0,0,0,0,,,,
Median,34,0,0,24,24,,,,
Offset,34,0,0,0,0,,,,
TWLTL,34,0,0,0,0,,,,
Crosswalk Width,34,16,16,16,16,,,,
Mandatory Distance,34,458,458,458,458,,,,
Mandatory Distance2,34,1320,1320,1761,1761,,,,
Positioning Distance,34,880,880,1174,1174,,,,
Positioning Distance2,34,1760,1760,2348,2348,,,,
Curve Pt X,34,,,,,,,,
Curve Pt Y,34,,,,,,,,
Curve Pt Z,34,,,,,,,,
Link Is Hidden,34,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,34,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,35,67,295,747,34,,,,
Lanes,35,3,3,3,4,,,,
Name,35,52nd Street,52nd Street,University Drive,University Drive,,,,
Distance,35,3020,1644,2675,1290,,,,
Speed,35,35,35,40,40,,,,
Time,35,58.8,32,45.6,22,,,,
Grade,35,0,0,0,0,,,,
Median,35,12,12,24,24,,,,
Offset,35,0,0,0,0,,,,
TWLTL,35,0,0,0,0,,,,
Crosswalk Width,35,16,16,16,16,,,,
Mandatory Distance,35,458,458,458,458,,,,
Mandatory Distance2,35,1539,1539,1761,1761,,,,
Positioning Distance,35,1026,1026,1174,1174,,,,
Positioning Distance2,35,2052,2052,2348,2348,,,,
Curve Pt X,35,,,,,,,,
Curve Pt Y,35,,,,,,,,
Curve Pt Z,35,,,,,,,,
Link Is Hidden,35,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,35,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,36,5232,24,34,25,,,,
Lanes,36,5,6,4,3,,,,
Name,36,Priest Drive,Priest Drive,University Drive,University Drive,,,,
Distance,36,300,1310,1324,1352,,,,
Speed,36,40,40,40,40,,,,
Time,36,5.1,22.3,22.6,23,,,,
Grade,36,0,0,0,0,,,,
Median,36,24,24,12,12,,,,
Offset,36,0,0,0,0,,,,
TWLTL,36,0,0,0,0,,,,
Crosswalk Width,36,16,16,16,16,,,,
Mandatory Distance,36,458,458,458,458,,,,
Mandatory Distance2,36,1761,1761,1761,1761,,,,
Positioning Distance,36,1174,1174,1174,1174,,,,
Positioning Distance2,36,2348,2348,2348,2348,,,,
Curve Pt X,36,,,,,,,,
Curve Pt Y,36,,,,,,,,
Curve Pt Z,36,,,,,,,,
Link Is Hidden,36,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,36,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,37,7224,7008,20,61,,,,
Lanes,37,2,2,3,3,,,,
Name,37,Perry Lane,Perry Lane,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,37,800,800,1320,1304,,,,
Speed,37,30,30,40,40,,,,
Time,37,18.2,18.2,22.5,22.2,,,,
Grade,37,0,0,0,0,,,,
Median,37,12,12,24,24,,,,
Offset,37,0,0,0,0,,,,
TWLTL,37,0,0,0,0,,,,
Crosswalk Width,37,16,16,16,16,,,,
Mandatory Distance,37,458,458,458,458,,,,
Mandatory Distance2,37,1320,1320,1761,1761,,,,
Positioning Distance,37,880,880,1174,1174,,,,
Positioning Distance2,37,1760,1760,2348,2348,,,,
Curve Pt X,37,,,,,,,,
Curve Pt Y,37,,,,,,,,
Curve Pt Z,37,,,,,,,,
Link Is Hidden,37,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,37,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,38,5231,5230,25,39,,,,
Lanes,38,3,3,3,3,,,,
Name,38,Hardy,Hardy,University Drive,University Drive,,,,
Distance,38,200,300,1258,1546,,,,
Speed,38,30,30,40,40,,,,
Time,38,4.5,6.8,21.4,26.4,,,,
Grade,38,0,0,0,0,,,,
Median,38,12,12,12,12,,,,
Offset,38,0,0,0,0,,,,
TWLTL,38,0,0,0,0,,,,
Crosswalk Width,38,16,16,16,16,,,,
Mandatory Distance,38,458,458,458,458,,,,
Mandatory Distance2,38,1320,1320,1761,1761,,,,
Positioning Distance,38,880,880,1174,1174,,,,
Positioning Distance2,38,1760,1760,2348,2348,,,,
Curve Pt X,38,,,,,,,,
Curve Pt Y,38,,,,,,,,
Curve Pt Z,38,,,,,,,,
Link Is Hidden,38,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,38,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,39,544,543,38,40,,,,
Lanes,39,1,1,3,3,,,,
Name,39,Roosevelt,Roosevelt,University Drive,University Drive,,,,
Distance,39,461,469,1546,944,,,,
Speed,39,30,30,40,40,,,,
Time,39,10.5,10.7,26.4,16.1,,,,
Grade,39,0,0,0,0,,,,
Median,39,0,0,24,24,,,,
Offset,39,0,0,0,0,,,,
TWLTL,39,0,0,0,0,,,,
Crosswalk Width,39,16,16,16,16,,,,
Mandatory Distance,39,458,458,458,458,,,,
Mandatory Distance2,39,1320,1320,1761,1761,,,,
Positioning Distance,39,880,880,1174,1174,,,,
Positioning Distance2,39,1760,1760,2348,2348,,,,
Curve Pt X,39,,,,,,,,
Curve Pt Y,39,,,,,,,,
Curve Pt Z,39,,,,,,,,
Link Is Hidden,39,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,39,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,40,541,540,39,41,,,,
Lanes,40,1,1,3,3,,,,
Name,40,Farmer,Farmer,University Drive,University Drive,,,,
Distance,40,477,484,944,530,,,,
Speed,40,30,30,40,40,,,,
Time,40,10.8,11,16.1,9,,,,
Grade,40,0,0,0,0,,,,
Median,40,0,0,24,24,,,,
Offset,40,0,0,0,0,,,,
TWLTL,40,0,0,0,0,,,,
Crosswalk Width,40,16,16,16,16,,,,
Mandatory Distance,40,458,458,458,458,,,,
Mandatory Distance2,40,1320,1320,1761,1761,,,,
Positioning Distance,40,880,880,1174,1174,,,,
Positioning Distance2,40,1760,1760,2348,2348,,,,
Curve Pt X,40,,,,,,,,
Curve Pt Y,40,,,,,,,,
Curve Pt Z,40,,,,,,,,
Link Is Hidden,40,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,40,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,41,7273,5207,40,43,,,,
Lanes,41,2,2,3,3,,,,
Name,41,Ash Street,Ash Street,University Drive,University Drive,,,,
Distance,41,810,350,530,730,,,,
Speed,41,30,30,40,35,,,,
Time,41,18.4,8,9,14.2,,,,
Grade,41,0,0,0,0,,,,
Median,41,12,12,12,12,,,,
Offset,41,0,0,0,0,,,,
TWLTL,41,0,0,0,0,,,,
Crosswalk Width,41,16,16,16,16,,,,
Mandatory Distance,41,458,458,458,458,,,,
Mandatory Distance2,41,1320,1320,1761,1539,,,,
Positioning Distance,41,880,880,1174,1026,,,,
Positioning Distance2,41,1760,1760,2348,2052,,,,
Curve Pt X,41,,,,,,,,
Curve Pt Y,41,,,,,,,,
Curve Pt Z,41,,,,,,,,
Link Is Hidden,41,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,41,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,42,20,19,,368,,,,
Lanes,42,3,5,,3,,,,
Name,42,McClintock Drive,McClintock Drive,,Tempe Marketplace,,,,
Distance,42,1040,1717,,850,,,,
Speed,42,45,45,,30,,,,
Time,42,15.8,26,,19.3,,,,
Grade,42,0,0,,0,,,,
Median,42,24,24,,24,,,,
Offset,42,0,0,,0,,,,
TWLTL,42,0,0,,0,,,,
Crosswalk Width,42,16,16,,16,,,,
Mandatory Distance,42,458,458,,458,,,,
Mandatory Distance2,42,1980,1980,,1320,,,,
Positioning Distance,42,1320,1320,,880,,,,
Positioning Distance2,42,2640,2640,,1760,,,,
Curve Pt X,42,,,,,,,,
Curve Pt Y,42,,,,,,,,
Curve Pt Z,42,,,,,,,,
Link Is Hidden,42,FALSE,FALSE,,FALSE,,,,
Street Name Is Hidden,42,FALSE,FALSE,,FALSE,,,,
Up ID,43,60,31,41,44,,,,
Lanes,43,4,5,4,4,,,,
Name,43,Mill Avenue,Mill Avenue,University Drive,University Drive,,,,
Distance,43,1050,450,730,560,,,,
Speed,43,35,30,35,35,,,,
Time,43,20.5,10.2,14.2,10.9,,,,
Grade,43,0,0,0,0,,,,
Median,43,24,24,12,12,,,,
Offset,43,0,0,0,0,,,,
TWLTL,43,0,0,0,0,,,,
Crosswalk Width,43,16,16,16,16,,,,
Mandatory Distance,43,458,458,458,458,,,,
Mandatory Distance2,43,1539,1320,1539,1539,,,,
Positioning Distance,43,1026,880,1026,1026,,,,
Positioning Distance2,43,2052,1760,2052,2052,,,,
Curve Pt X,43,,,,,,,,
Curve Pt Y,43,,,,,,,,
Curve Pt Z,43,,,,,,,,
Link Is Hidden,43,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,43,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,44,7209,7212,43,45,,,,
Lanes,44,1,1,3,3,,,,
Name,44,Myrtle Avenue,Myrtle Avenue,University Drive,University Drive,,,,
Distance,44,500,500,560,460,,,,
Speed,44,30,30,35,35,,,,
Time,44,11.4,11.4,10.9,9,,,,
Grade,44,0,0,0,0,,,,
Median,44,0,0,12,12,,,,
Offset,44,0,0,0,0,,,,
TWLTL,44,0,0,0,0,,,,
Crosswalk Width,44,16,16,16,16,,,,
Mandatory Distance,44,458,458,458,458,,,,
Mandatory Distance2,44,1320,1320,1539,1539,,,,
Positioning Distance,44,880,880,1026,1026,,,,
Positioning Distance2,44,1760,1760,2052,2052,,,,
Curve Pt X,44,,,,,,,,
Curve Pt Y,44,,,,,,,,
Curve Pt Z,44,,,,,,,,
Link Is Hidden,44,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,44,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,45,7210,7211,44,46,,,,
Lanes,45,1,1,3,3,,,,
Name,45,Forest,Forest,University Drive,University Drive,,,,
Distance,45,500,500,460,520,,,,
Speed,45,30,30,35,35,,,,
Time,45,11.4,11.4,9,10.1,,,,
Grade,45,0,0,0,0,,,,
Median,45,0,0,12,12,,,,
Offset,45,0,0,0,0,,,,
TWLTL,45,0,0,0,0,,,,
Crosswalk Width,45,16,16,16,16,,,,
Mandatory Distance,45,458,458,458,458,,,,
Mandatory Distance2,45,1320,1320,1539,1539,,,,
Positioning Distance,45,880,880,1026,1026,,,,
Positioning Distance2,45,1760,1760,2052,2052,,,,
Curve Pt X,45,,,,,,,,
Curve Pt Y,45,,,,,,,,
Curve Pt Z,45,,,,,,,,
Link Is Hidden,45,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,45,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,46,,512,45,47,,,,
Lanes,46,,1,3,3,,,,
Name,46,,College Avenue,University Drive,University Drive,,,,
Distance,46,,1280,520,1276,,,,
Speed,46,,30,35,35,,,,
Time,46,,29.1,10.1,24.9,,,,
Grade,46,,0,0,0,,,,
Median,46,,12,12,12,,,,
Offset,46,,0,0,0,,,,
TWLTL,46,,0,0,0,,,,
Crosswalk Width,46,,16,16,16,,,,
Mandatory Distance,46,,458,458,458,,,,
Mandatory Distance2,46,,1320,1539,1539,,,,
Positioning Distance,46,,880,1026,1026,,,,
Positioning Distance2,46,,1760,2052,2052,,,,
Curve Pt X,46,,,,,,,,
Curve Pt Y,46,,,,,,,,
Curve Pt Z,46,,,,,,,,
Link Is Hidden,46,,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,46,,FALSE,FALSE,FALSE,,,,
Up ID,47,,364,46,516,,,,
Lanes,47,,0,2,2,,,,
Name,47,,Van Ness,University Drive,University Drive,,,,
Distance,47,,194,1276,564,,,,
Speed,47,,30,35,35,,,,
Time,47,,4.4,24.9,11,,,,
Grade,47,,0,0,0,,,,
Median,47,,0,12,12,,,,
Offset,47,,0,0,0,,,,
TWLTL,47,,0,0,0,,,,
Crosswalk Width,47,,16,16,16,,,,
Mandatory Distance,47,,458,458,458,,,,
Mandatory Distance2,47,,1320,1539,1539,,,,
Positioning Distance,47,,880,1026,1026,,,,
Positioning Distance2,47,,1760,2052,2052,,,,
Curve Pt X,47,,,,,,,,
Curve Pt Y,47,,,,,,,,
Curve Pt Z,47,,,,,,,,
Link Is Hidden,47,,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,47,,FALSE,FALSE,FALSE,,,,
Up ID,48,,21,515,33,,,,
Lanes,48,,2,1,1,,,,
Name,48,,Packard Dr,6th Street,6th Street,,,,
Distance,48,,1580,668,866,,,,
Speed,48,,30,30,30,,,,
Time,48,,35.9,15.2,19.7,,,,
Grade,48,,0,0,0,,,,
Median,48,,24,12,12,,,,
Offset,48,,0,0,0,,,,
TWLTL,48,,0,0,0,,,,
Crosswalk Width,48,,16,16,16,,,,
Mandatory Distance,48,,200,200,200,,,,
Mandatory Distance2,48,,1320,1320,1320,,,,
Positioning Distance,48,,880,880,880,,,,
Positioning Distance2,48,,1760,1760,1760,,,,
Curve Pt X,48,,,19753,20259,,,,
Curve Pt Y,48,,,27473,27643,,,,
Curve Pt Z,48,,,18350,0,,,,
Link Is Hidden,48,,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,48,,FALSE,FALSE,FALSE,,,,
Up ID,49,517,33,516,50,,,,
Lanes,49,5,5,4,4,,,,
Name,49,Rural Road,Rural Road,University Drive,University Drive,,,,
Distance,49,650,923,810,2620,,,,
Speed,49,35,35,35,40,,,,
Time,49,12.7,18,15.8,44.7,,,,
Grade,49,0,0,0,0,,,,
Median,49,24,24,12,12,,,,
Offset,49,0,0,0,0,,,,
TWLTL,49,0,0,0,0,,,,
Crosswalk Width,49,16,16,16,16,,,,
Mandatory Distance,49,458,458,458,458,,,,
Mandatory Distance2,49,1539,1539,1539,1761,,,,
Positioning Distance,49,1026,1026,1026,1174,,,,
Positioning Distance2,49,2052,2052,2052,2348,,,,
Curve Pt X,49,,,,,,,,
Curve Pt Y,49,,,,,,,,
Curve Pt Z,49,,,,,,,,
Link Is Hidden,49,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,49,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,50,522,7221,49,51,,,,
Lanes,50,2,3,3,3,,,,
Name,50,Dorsey Lane,Dorsey Lane,University Drive,University Drive,,,,
Distance,50,2640,720,2620,2630,,,,
Speed,50,30,30,40,40,,,,
Time,50,60,16.4,44.7,44.8,,,,
Grade,50,0,0,0,0,,,,
Median,50,12,12,24,24,,,,
Offset,50,0,0,0,0,,,,
TWLTL,50,0,0,0,0,,,,
Crosswalk Width,50,16,16,16,16,,,,
Mandatory Distance,50,458,458,458,458,,,,
Mandatory Distance2,50,1320,1320,1761,1761,,,,
Positioning Distance,50,880,880,1174,1174,,,,
Positioning Distance2,50,1760,1760,2348,2348,,,,
Curve Pt X,50,,,,,,,,
Curve Pt Y,50,,,,,,,,
Curve Pt Z,50,,,,,,,,
Link Is Hidden,50,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,50,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,51,66,20,50,53,,,,
Lanes,51,5,5,5,5,,,,
Name,51,McClintock Drive,McClintock Drive,University Drive,University Drive,,,,
Distance,51,1660,2620,2630,2620,,,,
Speed,51,40,45,40,40,,,,
Time,51,28.3,39.7,44.8,44.7,,,,
Grade,51,0,0,0,0,,,,
Median,51,24,24,24,24,,,,
Offset,51,0,0,0,0,,,,
TWLTL,51,0,0,0,0,,,,
Crosswalk Width,51,16,16,16,16,,,,
Mandatory Distance,51,458,458,458,458,,,,
Mandatory Distance2,51,1761,1980,1761,1761,,,,
Positioning Distance,51,1174,1320,1174,1174,,,,
Positioning Distance2,51,2348,2640,2348,2348,,,,
Curve Pt X,51,,,,,,,,
Curve Pt Y,51,,,,,,,,
Curve Pt Z,51,,,,,,,,
Link Is Hidden,51,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,51,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,52,7247,7246,74,75,,,,
Lanes,52,1,1,4,4,,,,
Name,52,Normal Ave,Normal Ave,Apache Boulevard,Apache Boulevard,,,,
Distance,52,740,760,660,650,,,,
Speed,52,30,30,35,35,,,,
Time,52,16.8,17.3,12.9,12.7,,,,
Grade,52,0,0,0,0,,,,
Median,52,0,0,12,12,,,,
Offset,52,0,0,0,0,,,,
TWLTL,52,0,0,0,0,,,,
Crosswalk Width,52,16,16,16,16,,,,
Mandatory Distance,52,458,458,458,458,,,,
Mandatory Distance2,52,1320,1320,1539,1539,,,,
Positioning Distance,52,880,880,1026,1026,,,,
Positioning Distance2,52,1760,1760,2052,2052,,,,
Curve Pt X,52,,,,,,,,
Curve Pt Y,52,,,,,,,,
Curve Pt Z,52,,,,,,,,
Link Is Hidden,52,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,52,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,53,7226,7225,51,5272,,,,
Lanes,53,3,2,3,3,,,,
Name,53,,Smith Rd,University Drive,University Drive,,,,
Distance,53,866,886,2620,1640,,,,
Speed,53,30,30,40,40,,,,
Time,53,19.7,20.1,44.7,28,,,,
Grade,53,0,0,0,0,,,,
Median,53,12,12,24,24,,,,
Offset,53,0,0,0,0,,,,
TWLTL,53,0,0,0,0,,,,
Crosswalk Width,53,16,16,16,16,,,,
Mandatory Distance,53,458,458,458,458,,,,
Mandatory Distance2,53,1320,1320,1761,1761,,,,
Positioning Distance,53,880,880,1174,1174,,,,
Positioning Distance2,53,1760,1760,2348,2348,,,,
Curve Pt X,53,,,,,,,,
Curve Pt Y,53,,,,,,,,
Curve Pt Z,53,,,,,,,,
Link Is Hidden,53,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,53,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,54,443,442,75,76,,,,
Lanes,54,0,0,2,2,,,,
Name,54,Paseo Del Saber,Paseo Del Saber,Apache Boulevard,Apache Boulevard,,,,
Distance,54,396,292,438,922,,,,
Speed,54,30,30,35,35,,,,
Time,54,9,6.6,8.5,18,,,,
Grade,54,0,0,0,0,,,,
Median,54,0,0,12,12,,,,
Offset,54,0,0,0,0,,,,
TWLTL,54,0,0,0,0,,,,
Crosswalk Width,54,16,16,16,16,,,,
Mandatory Distance,54,458,458,458,458,,,,
Mandatory Distance2,54,1320,1320,1539,1539,,,,
Positioning Distance,54,880,880,1026,1026,,,,
Positioning Distance2,54,1760,1760,2052,2052,,,,
Curve Pt X,54,,,,,,,,
Curve Pt Y,54,,,,,,,,
Curve Pt Z,54,,,,,,,,
Link Is Hidden,54,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,54,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,55,5279,22,5214,8055,,,,
Lanes,55,0,4,6,5,,,,
Name,55,Price Freeway SB,Price Freeway SB,University Drive,University Drive,,,,
Distance,55,300,2690,300,500,,,,
Speed,55,30,40,40,40,,,,
Time,55,6.8,45.9,5.1,8.5,,,,
Grade,55,0,0,0,0,,,,
Median,55,12,12,24,24,,,,
Offset,55,0,0,0,0,,,,
TWLTL,55,0,0,0,0,,,,
Crosswalk Width,55,16,16,16,16,,,,
Mandatory Distance,55,458,458,458,458,,,,
Mandatory Distance2,55,1320,1761,1761,1761,,,,
Positioning Distance,55,880,1174,1174,1174,,,,
Positioning Distance2,55,1760,2348,2348,2348,,,,
Curve Pt X,55,,,,,,,,
Curve Pt Y,55,,,,,,,,
Curve Pt Z,55,,,,,,,,
Link Is Hidden,55,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,55,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,56,,499,5205,58,,,,
Lanes,56,,3,3,3,,,,
Name,56,,Hayden Ferry,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,56,,432,409,652,,,,
Speed,56,,15,35,35,,,,
Time,56,,19.6,8,12.7,,,,
Grade,56,,0,0,0,,,,
Median,56,,24,12,12,,,,
Offset,56,,0,0,0,,,,
TWLTL,56,,0,0,0,,,,
Crosswalk Width,56,,16,16,16,,,,
Mandatory Distance,56,,458,458,458,,,,
Mandatory Distance2,56,,660,1539,1539,,,,
Positioning Distance,56,,440,1026,1026,,,,
Positioning Distance2,56,,880,2052,2052,,,,
Curve Pt X,56,,,,17656,,,,
Curve Pt Y,56,,,,29762,,,,
Curve Pt Z,56,,,,19822,,,,
Link Is Hidden,56,,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,56,,FALSE,FALSE,FALSE,,,,
Up ID,57,7227,7016,5280,78,,,,
Lanes,57,2,3,3,3,,,,
Name,57,Evergreen Road,Evergreen Road,University Drive,University Drive,,,,
Distance,57,543,720,1400,1300,,,,
Speed,57,30,30,40,40,,,,
Time,57,12.3,16.4,23.9,22.2,,,,
Grade,57,0,0,0,0,,,,
Median,57,12,12,12,12,,,,
Offset,57,0,0,0,0,,,,
TWLTL,57,0,0,0,0,,,,
Crosswalk Width,57,16,16,16,16,,,,
Mandatory Distance,57,458,458,458,458,,,,
Mandatory Distance2,57,1320,1320,1761,1761,,,,
Positioning Distance,57,880,880,1174,1174,,,,
Positioning Distance2,57,1760,1760,2348,2348,,,,
Curve Pt X,57,,,,,,,,
Curve Pt Y,57,,,,,,,,
Curve Pt Z,57,,,,,,,,
Link Is Hidden,57,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,57,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,58,535,529,56,5208,,,,
Lanes,58,4,3,5,5,,,,
Name,58,,MH West,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,58,86,397,652,532,,,,
Speed,58,30,30,35,35,,,,
Time,58,2,9,12.7,10.4,,,,
Grade,58,0,0,0,0,,,,
Median,58,24,24,24,24,,,,
Offset,58,0,0,0,0,,,,
TWLTL,58,0,0,0,0,,,,
Crosswalk Width,58,16,16,16,16,,,,
Mandatory Distance,58,458,458,458,458,,,,
Mandatory Distance2,58,1320,1320,1539,1539,,,,
Positioning Distance,58,880,880,1026,1026,,,,
Positioning Distance2,58,1760,1760,2052,2052,,,,
Curve Pt X,58,,,17863,,,,,
Curve Pt Y,58,,,29786,,,,,
Curve Pt Z,58,,,0,,,,,
Link Is Hidden,58,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,58,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,59,538,531,5208,21,,,,
Lanes,59,2,3,5,4,,,,
Name,59,,MH East,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,59,136,328,796,663,,,,
Speed,59,30,30,35,35,,,,
Time,59,3.1,7.5,15.5,12.9,,,,
Grade,59,0,0,0,0,,,,
Median,59,24,24,36,36,,,,
Offset,59,0,0,0,0,,,,
TWLTL,59,0,0,0,0,,,,
Crosswalk Width,59,16,16,16,16,,,,
Mandatory Distance,59,458,458,458,458,,,,
Mandatory Distance2,59,1320,1320,1539,1539,,,,
Positioning Distance,59,880,880,1026,1026,,,,
Positioning Distance2,59,1760,1760,2052,2052,,,,
Curve Pt X,59,,,,,,,,
Curve Pt Y,59,,,,,,,,
Curve Pt Z,59,,,,,,,,
Link Is Hidden,59,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,59,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,60,5270,43,7207,7208,,,,
Lanes,60,3,4,1,1,,,,
Name,60,Mill Avenue,Mill Avenue,10th Street,,,,,
Distance,60,400,1050,500,500,,,,
Speed,60,35,35,30,30,,,,
Time,60,7.8,20.5,11.4,11.4,,,,
Grade,60,0,0,0,0,,,,
Median,60,24,24,0,0,,,,
Offset,60,0,0,0,0,,,,
TWLTL,60,0,0,0,0,,,,
Crosswalk Width,60,16,16,16,16,,,,
Mandatory Distance,60,458,458,458,458,,,,
Mandatory Distance2,60,1539,1539,1320,1320,,,,
Positioning Distance,60,1026,1026,880,880,,,,
Positioning Distance2,60,2052,2052,1760,1760,,,,
Curve Pt X,60,,,,,,,,
Curve Pt Y,60,,,,,,,,
Curve Pt Z,60,,,,,,,,
Link Is Hidden,60,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,60,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,61,460,459,37,5217,,,,
Lanes,61,2,3,3,3,,,,
Name,61,Smith Rd,Smith Rd,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,61,766,824,1304,2384,,,,
Speed,61,30,30,40,40,,,,
Time,61,17.4,18.7,22.2,40.6,,,,
Grade,61,0,0,0,0,,,,
Median,61,12,12,12,12,,,,
Offset,61,0,0,0,0,,,,
TWLTL,61,0,0,0,0,,,,
Crosswalk Width,61,16,16,16,16,,,,
Mandatory Distance,61,458,458,458,458,,,,
Mandatory Distance2,61,1320,1320,1761,1761,,,,
Positioning Distance,61,880,880,1174,1174,,,,
Positioning Distance2,61,1760,1760,2348,2348,,,,
Curve Pt X,61,,,,,,,,
Curve Pt Y,61,,,,,,,,
Curve Pt Z,61,,,,,,,,
Link Is Hidden,61,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,61,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,62,7054,516,7219,63,,,,
Lanes,62,2,2,1,1,,,,
Name,62,McAllister Avenue,McAllister Avenue,Terrace Road,Terrace Road,,,,
Distance,62,639,1300,992,848,,,,
