RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Speed,15,,30,,,,,,
Time,15,,10.2,,,,,,
Grade,15,,0,,,,,,
Median,15,,12,,,,,,
Offset,15,,0,,,,,,
TWLTL,15,,0,,,,,,
Crosswalk Width,15,,16,,,,,,
Mandatory Distance,15,,200,,,,,,
Mandatory Distance2,15,,1320,,,,,,
Positioning Distance,15,,880,,,,,,
Positioning Distance2,15,,1760,,,,,,
Curve Pt X,15,,,,,,,,
Curve Pt Y,15,,,,,,,,
Curve Pt Z,15,,,,,,,,
Link Is Hidden,15,,FALSE,,,,,,
Street Name Is Hidden,15,,FALSE,,,,,,
Up ID,16,509,143,7203,5204,,,,
Lanes,16,4,3,1,3,,,,
Name,16,Ash Street,Rio Salado Parkway,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,16,738,169,176,270,,,,
Speed,16,30,30,30,30,,,,
Time,16,16.8,3.8,4,6.1,,,,
Grade,16,0,0,0,0,,,,
Median,16,24,24,0,0,,,,
Offset,16,0,0,0,0,,,,
TWLTL,16,0,0,0,0,,,,
Crosswalk Width,16,16,16,16,16,,,,
Mandatory Distance,16,450,450,450,450,,,,
Mandatory Distance2,16,1320,1320,1320,1320,,,,
Positioning Distance,16,880,880,880,880,,,,
Positioning Distance2,16,1760,1760,1760,1760,,,,
Curve Pt X,16,15922,,,,,,,
Curve Pt Y,16,29087,,,,,,,
Curve Pt Z,16,19583,,,,,,,
Link Is Hidden,16,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,16,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,17,224,10,317,496,,,,
Lanes,17,6,6,4,3,,,,
Name,17,Scottsdale Road,Scottsdale Road,202,202,,,,
Distance,17,896,1535,1029,964,,,,
Speed,17,40,40,30,30,,,,
Time,17,15.3,26.2,23.4,21.9,,,,
Grade,17,0,0,0,0,,,,
Median,17,24,24,24,24,,,,
Offset,17,0,0,0,0,,,,
TWLTL,17,0,0,0,0,,,,
Crosswalk Width,17,16,16,16,16,,,,
Mandatory Distance,17,458,458,458,458,,,,
Mandatory Distance2,17,1761,1761,1320,1320,,,,
Positioning Distance,17,1174,1174,880,880,,,,
Positioning Distance2,17,2348,2348,1760,1760,,,,
Curve Pt X,17,,,,,,,,
Curve Pt Y,17,,,,,,,,
Curve Pt Z,17,,,,,,,,
Link Is Hidden,17,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,17,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,18,33,224,21,5213,,,,
Lanes,18,4,5,5,5,,,,
Name,18,Rural Road,Scottsdale Road,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,18,1557,1772,862,1115,,,,
Speed,18,35,35,35,40,,,,
Time,18,30.3,34.5,16.8,19,,,,
Grade,18,0,0,0,0,,,,
Median,18,12,12,24,24,,,,
Offset,18,0,0,0,0,,,,
TWLTL,18,0,0,0,0,,,,
Crosswalk Width,18,16,16,16,16,,,,
Mandatory Distance,18,458,458,458,458,,,,
Mandatory Distance2,18,1539,1539,1539,1761,,,,
Positioning Distance,18,1026,1026,1026,1174,,,,
Positioning Distance2,18,2052,2052,2052,2348,,,,
Curve Pt X,18,,,,21643,,,,
Curve Pt Y,18,,,,29128,,,,
Curve Pt Z,18,,,,19443,,,,
Link Is Hidden,18,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,18,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,19,42,12,393,,,,,
Lanes,19,3,4,4,,,,,
Name,19,McClintock Drive,McClintock Drive,202,,,,,
Distance,19,1717,1329,880,,,,,
Speed,19,45,45,30,,,,,
Time,19,26,20.1,20,,,,,
Grade,19,0,0,0,,,,,
Median,19,24,24,24,,,,,
Offset,19,0,0,0,,,,,
TWLTL,19,0,0,0,,,,,
Crosswalk Width,19,16,16,16,,,,,
Mandatory Distance,19,458,458,458,,,,,
Mandatory Distance2,19,1980,1980,1320,,,,,
Positioning Distance,19,1320,1320,880,,,,,
Positioning Distance2,19,2640,2640,1760,,,,,
Curve Pt X,19,,,,,,,,
Curve Pt Y,19,,,,,,,,
Curve Pt Z,19,,,,,,,,
Link Is Hidden,19,FALSE,FALSE,FALSE,,,,,
Street Name Is Hidden,19,FALSE,FALSE,FALSE,,,,,
Up ID,20,51,42,249,37,,,,
Lanes,20,3,5,5,5,,,,
Name,20,McClintock Drive,McClintock Drive,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,20,2620,1040,2631,1320,,,,
Speed,20,45,45,40,40,,,,
Time,20,39.7,15.8,44.8,22.5,,,,
Grade,20,0,0,0,0,,,,
Median,20,24,24,24,24,,,,
Offset,20,0,0,0,0,,,,
TWLTL,20,0,0,0,0,,,,
Crosswalk Width,20,16,16,16,16,,,,
Mandatory Distance,20,458,458,458,458,,,,
Mandatory Distance2,20,1980,1980,1761,1761,,,,
Positioning Distance,20,1320,1320,1174,1174,,,,
Positioning Distance2,20,2640,2640,2348,2348,,,,
Curve Pt X,20,,,25203,,,,,
Curve Pt Y,20,,,29239,,,,,
Curve Pt Z,20,,,19536,,,,,
Link Is Hidden,20,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,20,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,21,48,7005,59,18,,,,
Lanes,21,3,4,5,5,,,,
Name,21,Packard Dr,Packard Dr,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,21,1580,552,663,862,,,,
Speed,21,30,30,35,35,,,,
Time,21,35.9,12.5,12.9,16.8,,,,
Grade,21,0,0,0,0,,,,
Median,21,24,24,24,24,,,,
Offset,21,0,0,0,0,,,,
TWLTL,21,0,0,0,0,,,,
Crosswalk Width,21,16,16,16,16,,,,
Mandatory Distance,21,458,458,458,458,,,,
Mandatory Distance2,21,1320,1320,1539,1539,,,,
Positioning Distance,21,880,880,1026,1026,,,,
Positioning Distance2,21,1760,1760,2052,2052,,,,
Curve Pt X,21,,,,,,,,
Curve Pt Y,21,,,,,,,,
Curve Pt Z,21,,,,,,,,
Link Is Hidden,21,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,21,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,22,55,7009,5217,322,,,,
Lanes,22,0,4,3,3,,,,
Name,22,Price Freeway SB,Price Freeway SB,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,22,2690,1005,172,500,,,,
Speed,22,30,40,40,40,,,,
Time,22,61.1,17.1,2.9,8.5,,,,
Grade,22,0,0,0,0,,,,
Median,22,12,12,12,12,,,,
Offset,22,0,0,0,0,,,,
TWLTL,22,0,0,0,0,,,,
Crosswalk Width,22,16,16,16,16,,,,
Mandatory Distance,22,458,458,458,458,,,,
Mandatory Distance2,22,1320,1761,1761,1761,,,,
Positioning Distance,22,880,1174,1174,1174,,,,
Positioning Distance2,22,1760,2348,2348,2348,,,,
Curve Pt X,22,,,,,,,,
Curve Pt Y,22,,,,,,,,
Curve Pt Z,22,,,,,,,,
Link Is Hidden,22,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,22,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,23,5206,509,7205,27,,,,
Lanes,23,2,3,2,3,,,,
Name,23,Ash Street,Ash Street,5th Street,5th Street,,,,
Distance,23,350,713,1150,1020,,,,
Speed,23,30,30,30,30,,,,
Time,23,8,16.2,26.1,23.2,,,,
Grade,23,0,0,0,0,,,,
Median,23,12,12,12,12,,,,
Offset,23,0,0,0,0,,,,
TWLTL,23,0,0,0,0,,,,
Crosswalk Width,23,16,16,16,16,,,,
Mandatory Distance,23,229,229,229,229,,,,
Mandatory Distance2,23,1320,1320,1320,1320,,,,
Positioning Distance,23,880,880,880,880,,,,
Positioning Distance2,23,1760,1760,1760,1760,,,,
Curve Pt X,23,,,,,,,,
Curve Pt Y,23,,,,,,,,
Curve Pt Z,23,,,,,,,,
Link Is Hidden,23,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,23,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,24,36,13,7061,7201,,,,
Lanes,24,4,4,2,2,,,,
Name,24,Priest Drive,Priest Drive,5th Street,5th Street,,,,
Distance,24,1310,1470,800,800,,,,
Speed,24,40,40,30,30,,,,
Time,24,22.3,25.1,18.2,18.2,,,,
Grade,24,0,0,0,0,,,,
Median,24,24,24,12,12,,,,
Offset,24,0,0,0,0,,,,
TWLTL,24,0,0,0,0,,,,
Crosswalk Width,24,16,16,16,16,,,,
Mandatory Distance,24,458,458,458,458,,,,
Mandatory Distance2,24,1761,1761,1320,1320,,,,
