link_id,from_node_id,to_node_id,lanes,length_m,free_speed_mps,geometry,main_link_id,is_turn_bay_link
113_112,113,113_112_bay_node,1,773.941632,13.4112,"POLYGON ((-111.926336 33.400212, -111.934658 33.400213, -111.934658 33.40018, -111.926336 33.400179, -111.926336 33.400212))",113_112,False
113_112_bay,113_112_bay_node,112,2,39.624,13.4112,"POLYGON ((-111.934658 33.400229, -111.935084 33.400229, -111.935084 33.400163, -111.934658 33.400163, -111.934658 33.400229))",113_112,True
113_127,113,113_127_bay_node,3,717.555747,17.8816,"POLYGON ((-111.926395 33.400196, -111.926396 33.393724, -111.926278 33.393724, -111.926277 33.400196, -111.926395 33.400196))",113_127,False
113_127_bay,113_127_bay_node,127,5,86.868,17.8816,"POLYGON ((-111.926435 33.393724, -111.926435 33.392941, -111.926239 33.392941, -111.926239 33.393724, -111.926435 33.393724))",113_127,True
113_7257,113,7257,1,1035.380646,13.4112,"POLYGON ((-111.926336 33.400179, -111.919847 33.400229, -111.918651 33.400151, -111.915355 33.401003, -111.915366 33.401035, -111.918655 33.400183, -111.919845 33.400262, -111.926337 33.400212, -111.926336 33.400179))",113_7257,False
114_115,114,114_115_bay_node,2,156.911147,15.6464,"POLYGON ((-111.909175 33.400083, -111.909175 33.398668, -111.909096 33.398668, -111.909096 33.400083, -111.909175 33.400083))",114_115,False
114_115_bay,114_115_bay_node,115,3,38.1,15.6464,"POLYGON ((-111.909195 33.398668, -111.909195 33.398325, -111.909077 33.398325, -111.909077 33.398668, -111.909195 33.398668))",114_115,True
114_7258,114,7258,1,243.764013,13.4112,"POLYGON ((-111.909135 33.4001, -111.911756 33.4001, -111.911757 33.400067, -111.909135 33.400067, -111.909135 33.4001))",114_7258,False
114_7259,114,7259,1,1086.576587,13.4112,"POLYGON ((-111.909135 33.400067, -111.897452 33.400064, -111.897452 33.400097, -111.909135 33.4001, -111.909135 33.400067))",114_7259,False
114_99,114,114_99_bay_node,2,755.649172,17.8816,"POLYGON ((-111.909096 33.400083, -111.909094 33.406899, -111.909173 33.406899, -111.909175 33.400083, -111.909096 33.400083))",114_99,False
114_99_bay,114_99_bay_node,99,4,60.96,17.8816,"POLYGON ((-111.909055 33.406899, -111.909055 33.407448, -111.909212 33.407448, -111.909212 33.406899, -111.909055 33.406899))",114_99,True
115_114,115,115_114_bay_node,2,143.195147,15.6464,"POLYGON ((-111.909097 33.398325, -111.909096 33.399616, -111.909175 33.399616, -111.909175 33.398325, -111.909097 33.398325))",115_114,False
115_114_bay,115_114_bay_node,114,3,51.816,15.6464,"POLYGON ((-111.909077 33.399616, -111.909076 33.400083, -111.909194 33.400083, -111.909195 33.399616, -111.909077 33.399616))",115_114,True
115_116,115,115_116_bay_node,2,138.624099,15.6464,"POLYGON ((-111.909175 33.398325, -111.909176 33.397074, -111.909097 33.397074, -111.909097 33.398325, -111.909175 33.398325))",115_116,False
115_116_bay,115_116_bay_node,116,3,53.34,15.6464,"POLYGON ((-111.909195 33.397074, -111.909195 33.396593, -111.909077 33.396593, -111.909077 33.397074, -111.909195 33.397074))",115_116,True
