[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,374,975,0,,,,,,
2,1,1629,969,0,,,,,,
3,0,1001,972,0,,,,,,
4,1,990,-285,0,,,,,,
5,2,1013,2244,0,,,,,,
6,2,3408,8965,0,,,,,,
7,1,10366,8913,0,,,,,,
8,3,7477,8957,0,,,,,,
9,1,8840,7023,0,,,,,,
10,1,1648,10768,0,,,,,,
Link Is Hidden,12,false,false,false,false,,
Street Name Is Hidden,12,false,false,false,false,,
Up ID,13,15,12,,,,
Lanes,13,2,2,,,,
Name,13,,Mountain Ave,,,,
Distance,13,2784,1258,,,,
Speed,13,30,30,,,,
Time,13,63.3,28.6,,,,
Grade,13,0,0,,,,
Median,13,0,0,,,,
Offset,13,0,0,,,,
TWLTL,13,0,0,,,,
Crosswalk Width,13,16,16,,,,
Mandatory Distance,13,100,100,,,,
Mandatory Distance2,13,1320,1320,,,,
Positioning Distance,13,880,880,,,,
Positioning Distance2,13,1760,1760,,,,
Curve Pt X,13,,,,,,
Curve Pt Y,13,,,,,,
Curve Pt Z,13,,,,,,
Link Is Hidden,13,false,false,,,,
Street Name Is Hidden,13,false,false,,,,
Up ID,14,16,15,,,,
Lanes,14,2,2,,,,
Name,14,,,,,,
Distance,14,57,311,,,,
Speed,14,30,30,,,,
Time,14,1.3,7.1,,,,
Grade,14,0,0,,,,
Median,14,0,0,,,,
Offset,14,0,0,,,,
TWLTL,14,0,0,,,,
Crosswalk Width,14,16,16,,,,
Mandatory Distance,14,100,100,,,,
Mandatory Distance2,14,1320,1320,,,,
Positioning Distance,14,880,880,,,,
Positioning Distance2,14,1760,1760,,,,
Curve Pt X,14,,,,,,
Curve Pt Y,14,,,,,,
Curve Pt Z,14,,,,,,
Link Is Hidden,14,false,false,,,,
Street Name Is Hidden,14,false,false,,,,
Up ID,15,14,13,,,,
Lanes,15,2,2,,,,
Name,15,,,,,,
Distance,15,311,2784,,,,
Speed,15,30,30,,,,
Time,15,7.1,63.3,,,,
Grade,15,0,0,,,,
Median,15,0,0,,,,
Offset,15,0,0,,,,
TWLTL,15,0,0,,,,
Crosswalk Width,15,16,16,,,,
Mandatory Distance,15,100,100,,,,
Mandatory Distance2,15,1320,1320,,,,
Positioning Distance,15,880,880,,,,
Positioning Distance2,15,1760,1760,,,,
Curve Pt X,15,,,,,,
Curve Pt Y,15,,,,,,
Curve Pt Z,15,,,,,,
Link Is Hidden,15,false,false,,,,
Street Name Is Hidden,15,false,false,,,,
Up ID,16,5,14,,,,
Lanes,16,2,2,,,,
Name,16,,,,,,
Distance,16,2976,57,,,,
Speed,16,30,30,,,,
Time,16,67.6,1.3,,,,
Grade,16,0,0,,,,
Median,16,0,0,,,,
Offset,16,0,0,,,,
TWLTL,16,0,0,,,,
Crosswalk Width,16,16,16,,,,
Mandatory Distance,16,100,100,,,,
Mandatory Distance2,16,1320,1320,,,,
Positioning Distance,16,880,880,,,,
Positioning Distance2,16,1760,1760,,,,
Curve Pt X,16,,,,,,
Curve Pt Y,16,,,,,,
Curve Pt Z,16,,,,,,
Link Is Hidden,16,false,false,,,,
Street Name Is Hidden,16,false,false,,,,
Up ID,17,18,,6,8,,
Lanes,17,1,,2,1,,
Name,17,,,Main ST/ US HWY 191,,,
Distance,17,265,,2932,1137,,
Speed,17,30,,30,30,,
Time,17,6.0,,66.6,25.8,,
Grade,17,0,,0,0,,
Median,17,12,,0,0,,
Offset,17,0,,0,0,,
TWLTL,17,0,,0,0,,
Crosswalk Width,17,16,,16,16,,
Mandatory Distance,17,200,,200,200,,
Mandatory Distance2,17,1320,,1320,1320,,
Positioning Distance,17,880,,880,880,,
Positioning Distance2,17,1760,,1760,1760,,
Curve Pt X,17,,,,,,
Curve Pt Y,17,,,,,,
Curve Pt Z,17,,,,,,
Link Is Hidden,17,false,,false,false,,
Street Name Is Hidden,17,false,,false,false,,
Up ID,18,,17,,,,
Lanes,18,,0,,,,
Name,18,,,,,,
Distance,18,,265,,,,
Speed,18,,30,,,,
Time,18,,6.0,,,,
Grade,18,,0,,,,
Median,18,,0,,,,
Offset,18,,0,,,,
TWLTL,18,,0,,,,
Crosswalk Width,18,,16,,,,
Mandatory Distance,18,,200,,,,
Mandatory Distance2,18,,1320,,,,
Positioning Distance,18,,880,,,,
Positioning Distance2,18,,1760,,,,
