Name,20,SR95,SR95,Kiowa Ave,Kiowa Blvd,,,,
Distance,20,2509,5181,378,354,,,,
Speed,20,45,45,25,35,,,,
Time,20,38.0,78.5,10.3,6.9,,,,
Grade,20,0,0,0,0,,,,
Median,20,12,12,12,12,,,,
Offset,20,0,0,0,0,,,,
TWLTL,20,0,0,0,0,,,,
Crosswalk Width,20,16,16,16,16,,,,
Mandatory Distance,20,270,270,270,270,,,,
Mandatory Distance2,20,1980,1980,1101,1539,,,,
Positioning Distance,20,1320,1320,734,1026,,,,
Positioning Distance2,20,2640,2640,1468,2052,,,,
Curve Pt X,20,,,,,,,,
Curve Pt Y,20,,,,,,,,
Curve Pt Z,20,,,,,,,,
Link Is Hidden,20,false,false,false,false,,,,
Street Name Is Hidden,20,false,false,false,false,,,,
Up ID,21,,,,20,,,,
Lanes,21,,,,1,,,,
Name,21,,,,Kiowa Ave,,,,
Distance,21,,,,378,,,,
Speed,21,,,,30,,,,
Time,21,,,,8.6,,,,
Grade,21,,,,0,,,,
Median,21,,,,12,,,,
Offset,21,,,,0,,,,
TWLTL,21,,,,0,,,,
Crosswalk Width,21,,,,16,,,,
Mandatory Distance,21,,,,200,,,,
Mandatory Distance2,21,,,,1320,,,,
Positioning Distance,21,,,,880,,,,
Positioning Distance2,21,,,,1760,,,,
Curve Pt X,21,,,,,,,,
Curve Pt Y,21,,,,,,,,
Curve Pt Z,21,,,,,,,,
Link Is Hidden,21,,,,false,,,,
Street Name Is Hidden,21,,,,false,,,,
Up ID,22,,,20,,,,,
Lanes,22,,,1,,,,,
Name,22,,,Kiowa Blvd,,,,,
Distance,22,,,354,,,,,
Speed,22,,,30,,,,,
Time,22,,,8.0,,,,,
Grade,22,,,0,,,,,
Median,22,,,12,,,,,
Offset,22,,,0,,,,,
TWLTL,22,,,0,,,,,
Crosswalk Width,22,,,16,,,,,
Mandatory Distance,22,,,200,,,,,
Mandatory Distance2,22,,,1320,,,,,
Positioning Distance,22,,,880,,,,,
Positioning Distance2,22,,,1760,,,,,
Curve Pt X,22,,,,,,,,
Curve Pt Y,22,,,,,,,,
Curve Pt Z,22,,,,,,,,
Link Is Hidden,22,,,false,,,,,
Street Name Is Hidden,22,,,false,,,,,
Up ID,23,26,20,24,25,,,,
Lanes,23,4,3,2,2,,,,
Name,23,SR95,SR95,W Acoma Blvd,W Acoma Blvd,,,,
Distance,23,917,2509,345,331,,,,
Speed,23,45,45,30,30,,,,
Time,23,13.9,38.0,7.8,7.5,,,,
Grade,23,0,0,0,0,,,,
Median,23,24,24,12,12,,,,
Offset,23,0,0,0,0,,,,
TWLTL,23,0,0,0,0,,,,
Crosswalk Width,23,16,16,16,16,,,,
Mandatory Distance,23,229,229,229,229,,,,
Mandatory Distance2,23,1980,1980,1320,1320,,,,
Positioning Distance,23,1320,1320,880,880,,,,
Positioning Distance2,23,2640,2640,1760,1760,,,,
Curve Pt X,23,,,,,,,,
Curve Pt Y,23,,,,,,,,
Curve Pt Z,23,,,,,,,,
Link Is Hidden,23,false,false,false,false,,,,
Street Name Is Hidden,23,false,false,false,false,,,,
Up ID,24,,,,23,,,,
Lanes,24,,,,1,,,,
Name,24,,,,W Acoma Blvd,,,,
Distance,24,,,,345,,,,
Speed,24,,,,30,,,,
Time,24,,,,7.8,,,,
Grade,24,,,,0,,,,
Median,24,,,,0,,,,
Offset,24,,,,0,,,,
TWLTL,24,,,,0,,,,
Crosswalk Width,24,,,,16,,,,
Mandatory Distance,24,,,,200,,,,
Mandatory Distance2,24,,,,1320,,,,
Positioning Distance,24,,,,880,,,,
Positioning Distance2,24,,,,1760,,,,
Curve Pt X,24,,,,,,,,
Curve Pt Y,24,,,,,,,,
Curve Pt Z,24,,,,,,,,
Link Is Hidden,24,,,,false,,,,
Street Name Is Hidden,24,,,,false,,,,
Up ID,25,,,23,,,,,
Lanes,25,,,1,,,,,
Name,25,,,W Acoma Blvd,,,,,
Distance,25,,,331,,,,,
Speed,25,,,30,,,,,
Time,25,,,7.5,,,,,
Grade,25,,,0,,,,,
Median,25,,,0,,,,,
Offset,25,,,0,,,,,
TWLTL,25,,,0,,,,,
Crosswalk Width,25,,,16,,,,,
Mandatory Distance,25,,,200,,,,,
Mandatory Distance2,25,,,1320,,,,,
Positioning Distance,25,,,880,,,,,
Positioning Distance2,25,,,1760,,,,,
Curve Pt X,25,,,,,,,,
Curve Pt Y,25,,,,,,,,
Curve Pt Z,25,,,,,,,,
Link Is Hidden,25,,,false,,,,,
Street Name Is Hidden,25,,,false,,,,,
Up ID,26,29,23,27,28,,,,
Lanes,26,4,4,3,3,,,,
Name,26,SR95,SR95,Industrial Blvd,Industrial Blvd,,,,
Distance,26,3936,917,363,355,,,,
Speed,26,45,45,30,35,,,,
Time,26,59.6,13.9,8.3,6.9,,,,
Grade,26,0,0,0,0,,,,
Median,26,12,12,12,12,,,,
Offset,26,0,0,0,0,,,,
TWLTL,26,0,0,0,0,,,,
Crosswalk Width,26,16,16,16,16,,,,
Mandatory Distance,26,229,229,229,229,,,,
Mandatory Distance2,26,1980,1980,1320,1539,,,,
Positioning Distance,26,1320,1320,880,1026,,,,
Positioning Distance2,26,2640,2640,1760,2052,,,,
Curve Pt X,26,,,,,,,,
Curve Pt Y,26,,,,,,,,
Curve Pt Z,26,,,,,,,,
Link Is Hidden,26,false,false,false,false,,,,
Street Name Is Hidden,26,false,false,false,false,,,,
Up ID,27,,,,26,,,,
Lanes,27,,,,1,,,,
Name,27,,,,Industrial Blvd,,,,
Distance,27,,,,363,,,,
Speed,27,,,,30,,,,
Time,27,,,,8.3,,,,
Grade,27,,,,0,,,,
Median,27,,,,12,,,,
Offset,27,,,,0,,,,
TWLTL,27,,,,0,,,,
Crosswalk Width,27,,,,16,,,,
Mandatory Distance,27,,,,200,,,,
Mandatory Distance2,27,,,,1320,,,,
Positioning Distance,27,,,,880,,,,
Positioning Distance2,27,,,,1760,,,,
Curve Pt X,27,,,,,,,,
Curve Pt Y,27,,,,,,,,
Curve Pt Z,27,,,,,,,,
Link Is Hidden,27,,,,false,,,,
Street Name Is Hidden,27,,,,false,,,,
Up ID,28,,,26,,,,,
Lanes,28,,,1,,,,,
Name,28,,,Industrial Blvd,,,,,
Distance,28,,,355,,,,,
Speed,28,,,30,,,,,
Time,28,,,8.1,,,,,
Grade,28,,,0,,,,,
Median,28,,,12,,,,,
Offset,28,,,0,,,,,
TWLTL,28,,,0,,,,,
Crosswalk Width,28,,,16,,,,,
Mandatory Distance,28,,,200,,,,,
Mandatory Distance2,28,,,1320,,,,,
Positioning Distance,28,,,880,,,,,
Positioning Distance2,28,,,1760,,,,,
Curve Pt X,28,,,,,,,,
Curve Pt Y,28,,,,,,,,
Curve Pt Z,28,,,,,,,,
Link Is Hidden,28,,,false,,,,,
Street Name Is Hidden,28,,,false,,,,,
Up ID,29,34,26,31,30,,,,
Lanes,29,4,4,3,3,,,,
Name,29,SR95,SR95,S Palo Verde Blvd,S Palo Verde Blvd,,,,
Distance,29,3232,3936,401,331,,,,
Speed,29,45,45,30,35,,,,
Time,29,49.0,59.6,9.1,6.4,,,,
Grade,29,0,0,0,0,,,,
Median,29,12,12,12,12,,,,
Offset,29,0,0,0,0,,,,
TWLTL,29,0,0,0,0,,,,
Crosswalk Width,29,16,16,16,16,,,,
Mandatory Distance,29,229,229,229,229,,,,
Mandatory Distance2,29,1980,1980,1320,1539,,,,
Positioning Distance,29,1320,1320,880,1026,,,,
Positioning Distance2,29,2640,2640,1760,2052,,,,
Curve Pt X,29,13202,,12987,,,,,
Curve Pt Y,29,27742,,29944,,,,,
Curve Pt Z,29,0,,0,,,,,
Link Is Hidden,29,false,false,false,false,,,,
Street Name Is Hidden,29,false,false,false,false,,,,
Up ID,30,,,29,,,,,
Lanes,30,,,1,,,,,
Name,30,,,S Palo Verde Blvd,,,,,
Distance,30,,,331,,,,,
Speed,30,,,30,,,,,
Time,30,,,7.5,,,,,
Grade,30,,,0,,,,,
Median,30,,,12,,,,,
Offset,30,,,0,,,,,
TWLTL,30,,,0,,,,,
Crosswalk Width,30,,,16,,,,,
Mandatory Distance,30,,,200,,,,,
Mandatory Distance2,30,,,1320,,,,,
Positioning Distance,30,,,880,,,,,
Positioning Distance2,30,,,1760,,,,,
Curve Pt X,30,,,,,,,,
Curve Pt Y,30,,,,,,,,
Curve Pt Z,30,,,,,,,,
Link Is Hidden,30,,,false,,,,,
Street Name Is Hidden,30,,,false,,,,,
Up ID,31,,,,29,,,,
Lanes,31,,,,1,,,,
Name,31,,,,S Palo Verde Blvd,,,,
Distance,31,,,,401,,,,
Speed,31,,,,30,,,,
Time,31,,,,9.1,,,,
Grade,31,,,,0,,,,
Median,31,,,,12,,,,
Offset,31,,,,0,,,,
TWLTL,31,,,,0,,,,
Crosswalk Width,31,,,,16,,,,
Mandatory Distance,31,,,,200,,,,
