[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
Curve Pt Y,18,,,,
Curve Pt Z,18,,,,
Link Is Hidden,18,false,,,
Street Name Is Hidden,18,false,,,

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,PED,HOLD
Up Node,3,6,6,6,4,4,4,1,1,1,9,9,9,,
Dest Node,3,1,4,9,9,6,1,4,9,6,6,1,4,,
Lanes,3,1,2,0,1,2,0,1,2,0,1,2,0,,
Shared,3,0,2,,0,0,,0,0,,0,0,,,
Width,3,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,3,185,,,200,,,135,,,150,,,,
Taper,3,25,,,25,,,25,,,25,,,,
StLanes,3,1,,,1,,,1,,,1,,,,
Grade,3,,,,,,,,,,,,,,
Speed,3,,30,,,30,,,30,,,30,,,
Phase1,3,,2,,1,6,,,4,,3,8,,,
PermPhase1,3,2,,,6,,,4,,,8,,,,
LostTime,3,4.5,4.5,4,4.5,4.5,4,4.5,4.5,4,4.5,4.5,4,,
Lost Time Adjust,3,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,3,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,3,1863,3539,0,1863,3539,0,1863,3539,0,1863,3539,0,,
SatFlowPerm,3,1863,3539,0,1863,3539,0,1863,3539,0,1863,3539,0,,
Allow RTOR,3,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,3,0,0,0,0,0,0,0,0,0,0,0,0,,
Volume,3,0,0,0,0,0,0,0,0,0,0,0,0,,
Peds,3,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,3,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,3,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,3,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,3,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,3,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,3,,0,,,0,,,0,,,0,,,
