[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,294,1204,0,,,,,,
2,0,1230,945,0,,,,,,
3,0,2731,777,0,,,,,,
4,2,2952,559,0,,,,,,
5,1,2740,1045,0,,,,,,
6,2,3909,290,0,,,,,,
7,1,11947,2801,0,,,,,,
8,0,5217,127,0,,,,,,
9,1,5281,744,0,,,,,,
10,1,5191,-115,0,,,,,,
11,2,8419,-641,0,,,,,,
12,0,7363,-360,0,,,,,,
13,1,7369,-56,0,,,,,,
14,1,7393,-465,0,,,,,,
15,0,11462,2327,0,,,,,,
Positioning Distance,13,880,,,,,,,
Positioning Distance2,13,1760,,,,,,,
Curve Pt X,13,,,,,,,,
Curve Pt Y,13,,,,,,,,
Curve Pt Z,13,,,,,,,,
Link Is Hidden,13,false,,,,,,,
Street Name Is Hidden,13,false,,,,,,,
Up ID,14,,12,,,,,,
Lanes,14,,1,,,,,,
Name,14,,,,,,,,
Distance,14,,109,,,,,,
Speed,14,,30,,,,,,
Time,14,,2.5,,,,,,
Grade,14,,0,,,,,,
Median,14,,0,,,,,,
Offset,14,,0,,,,,,
TWLTL,14,,0,,,,,,
Crosswalk Width,14,,16,,,,,,
Mandatory Distance,14,,200,,,,,,
Mandatory Distance2,14,,1320,,,,,,
Positioning Distance,14,,880,,,,,,
Positioning Distance2,14,,1760,,,,,,
Curve Pt X,14,,,,,,,,
Curve Pt Y,14,,,,,,,,
Curve Pt Z,14,,,,,,,,
Link Is Hidden,14,,false,,,,,,
Street Name Is Hidden,14,,false,,,,,,
Up ID,15,,,,,11,17,16,7
Lanes,15,,,,,3,3,3,3
Name,15,,,,,,Hualapai Mountain Rd,,
Distance,15,,,,,4442,556,274,678
Speed,15,,,,,30,30,30,30
Time,15,,,,,101.0,12.6,6.2,15.4
Grade,15,,,,,0,0,0,0
Median,15,,,,,12,12,12,12
Offset,15,,,,,0,0,0,0
TWLTL,15,,,,,0,0,0,0
Crosswalk Width,15,,,,,16,16,16,16
Mandatory Distance,15,,,,,270,270,270,270
Mandatory Distance2,15,,,,,1320,1320,1320,1320
Positioning Distance,15,,,,,880,880,880,880
Positioning Distance2,15,,,,,1760,1760,1760,1760
Curve Pt X,15,,,,,10539,11556,,
Curve Pt Y,15,,,,,1698,2241,,
Curve Pt Z,15,,,,,0,0,,
Link Is Hidden,15,,,,,false,false,false,false
Street Name Is Hidden,15,,,,,false,false,false,false
Up ID,16,,,,,,15,,
Lanes,16,,,,,,2,,
Name,16,,,,,,,,
Distance,16,,,,,,274,,
Speed,16,,,,,,30,,
Time,16,,,,,,6.2,,
Grade,16,,,,,,0,,
Median,16,,,,,,12,,
Offset,16,,,,,,0,,
TWLTL,16,,,,,,0,,
Crosswalk Width,16,,,,,,16,,
Mandatory Distance,16,,,,,,200,,
Mandatory Distance2,16,,,,,,1320,,
Positioning Distance,16,,,,,,880,,
Positioning Distance2,16,,,,,,1760,,
Curve Pt X,16,,,,,,,,
Curve Pt Y,16,,,,,,,,
Curve Pt Z,16,,,,,,,,
Link Is Hidden,16,,,,,,false,,
Street Name Is Hidden,16,,,,,,false,,
Up ID,17,,,15,,,,,
Lanes,17,,,2,,,,,
Name,17,,,Hualapai Mountain Rd,,,,,
Distance,17,,,556,,,,,
Speed,17,,,30,,,,,
Time,17,,,12.6,,,,,
Grade,17,,,0,,,,,
Median,17,,,12,,,,,
Offset,17,,,0,,,,,
TWLTL,17,,,0,,,,,
Crosswalk Width,17,,,16,,,,,
Mandatory Distance,17,,,200,,,,,
Mandatory Distance2,17,,,1320,,,,,
Positioning Distance,17,,,880,,,,,
Positioning Distance2,17,,,1760,,,,,
Curve Pt X,17,,,11639,,,,,
Curve Pt Y,17,,,2112,,,,,
Curve Pt Z,17,,,0,,,,,
Link Is Hidden,17,,,false,,,,,
Street Name Is Hidden,17,,,false,,,,,
Up ID,18,,2,,,,,,
Lanes,18,,0,,,,,,
Name,18,,,,,,,,
Distance,18,,520,,,,,,
Speed,18,,30,,,,,,
Time,18,,11.8,,,,,,
Grade,18,,0,,,,,,
Median,18,,0,,,,,,
Offset,18,,0,,,,,,
TWLTL,18,,0,,,,,,
Crosswalk Width,18,,16,,,,,,
Mandatory Distance,18,,200,,,,,,
Mandatory Distance2,18,,1320,,,,,,
Positioning Distance,18,,880,,,,,,
Positioning Distance2,18,,1760,,,,,,
Curve Pt X,18,,,,,,,,
Curve Pt Y,18,,,,,,,,
Curve Pt Z,18,,,,,,,,
Link Is Hidden,18,,false,,,,,,
Street Name Is Hidden,18,,false,,,,,,
Up ID,19,,,3,,,,,
Lanes,19,,,1,,,,,
Name,19,,,Beale St,,,,,
Distance,19,,,532,,,,,
Speed,19,,,30,,,,,
Time,19,,,12.1,,,,,
Grade,19,,,0,,,,,
Median,19,,,0,,,,,
Offset,19,,,0,,,,,
TWLTL,19,,,0,,,,,
Crosswalk Width,19,,,16,,,,,
Mandatory Distance,19,,,200,,,,,
Mandatory Distance2,19,,,1320,,,,,
Positioning Distance,19,,,880,,,,,
Positioning Distance2,19,,,1760,,,,,
Curve Pt X,19,,,,,,,,
Curve Pt Y,19,,,,,,,,
Curve Pt Z,19,,,,,,,,
Link Is Hidden,19,,,false,,,,,
Street Name Is Hidden,19,,,false,,,,,
Up ID,20,2,,,,,,,
Lanes,20,2,,,,,,,
Name,20,,,,,,,,
Distance,20,388,,,,,,,
Speed,20,30,,,,,,,
Time,20,8.8,,,,,,,
Grade,20,0,,,,,,,
Median,20,0,,,,,,,
Offset,20,0,,,,,,,
TWLTL,20,0,,,,,,,
Crosswalk Width,20,16,,,,,,,
Mandatory Distance,20,200,,,,,,,
Mandatory Distance2,20,1320,,,,,,,
Positioning Distance,20,880,,,,,,,
Positioning Distance2,20,1760,,,,,,,
Curve Pt X,20,,,,,,,,
Curve Pt Y,20,,,,,,,,
Curve Pt Z,20,,,,,,,,
Link Is Hidden,20,false,,,,,,,
Street Name Is Hidden,20,false,,,,,,,
Up ID,21,22,23,1,2,,,,
Lanes,21,0,3,3,2,,,,
Name,21,,,,,,,,
Distance,21,344,627,557,424,,,,
Speed,21,30,30,30,30,,,,
Time,21,7.8,14.3,12.7,9.6,,,,
Grade,21,0,0,0,0,,,,
Median,21,0,0,12,12,,,,
Offset,21,0,0,0,0,,,,
TWLTL,21,0,0,0,0,,,,
Crosswalk Width,21,16,16,16,16,,,,
Mandatory Distance,21,227,227,227,227,,,,
Mandatory Distance2,21,1320,1320,1320,1320,,,,
Positioning Distance,21,880,880,880,880,,,,
Positioning Distance2,21,1760,1760,1760,1760,,,,
Curve Pt X,21,,,,,,,,
Curve Pt Y,21,,,,,,,,
Curve Pt Z,21,,,,,,,,
Link Is Hidden,21,false,false,false,false,,,,
Street Name Is Hidden,21,false,false,false,false,,,,
Up ID,22,,21,,,,,,
Lanes,22,,1,,,,,,
Name,22,,,,,,,,
Distance,22,,344,,,,,,
Speed,22,,30,,,,,,
Time,22,,7.8,,,,,,
Grade,22,,0,,,,,,
Median,22,,0,,,,,,
Offset,22,,0,,,,,,
TWLTL,22,,0,,,,,,
Crosswalk Width,22,,16,,,,,,
Mandatory Distance,22,,200,,,,,,
Mandatory Distance2,22,,1320,,,,,,
Positioning Distance,22,,880,,,,,,
Positioning Distance2,22,,1760,,,,,,
Curve Pt X,22,,,,,,,,
Curve Pt Y,22,,,,,,,,
Curve Pt Z,22,,,,,,,,
Link Is Hidden,22,,false,,,,,,
Street Name Is Hidden,22,,false,,,,,,
Up ID,23,21,,,,,,,
Lanes,23,0,,,,,,,
Name,23,,,,,,,,
Distance,23,627,,,,,,,
Speed,23,30,,,,,,,
Time,23,14.3,,,,,,,
Grade,23,0,,,,,,,
Median,23,0,,,,,,,
Offset,23,0,,,,,,,
TWLTL,23,0,,,,,,,
Crosswalk Width,23,16,,,,,,,
Mandatory Distance,23,200,,,,,,,
Mandatory Distance2,23,1320,,,,,,,
Positioning Distance,23,880,,,,,,,
Positioning Distance2,23,1760,,,,,,,
Curve Pt X,23,,,,,,,,
Curve Pt Y,23,,,,,,,,
