[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/25/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
2,0,9469,10754,0,,,,,,
3,2,6879,5140,0,,,,,,
4,1,8951,10783,0,,,,,,
5,0,17922,12891,0,,,,,,
6,0,10251,10736,0,,,,,,
7,1,10249,10963,0,,,,,,
8,1,9677,17580,0,,,,,,
9,0,11312,10875,0,,,,,,
10,1,10253,10515,0,,,,,,
11,1,11312,11136,0,,,,,,
12,1,11374,10694,0,,,,,,
13,0,9523,12317,0,,,,,,
14,1,9834,12311,0,,,,,,
15,2,9350,12314,0,,,,,,
16,1,9286,12383,0,,,,,,
17,0,9586,14218,0,,,,,,
18,1,9381,14222,0,,,,,,
19,1,9884,14212,0,,,,,,
20,0,9435,9279,0,,,,,,
21,1,9215,9282,0,,,,,,
22,1,9683,9275,0,,,,,,
23,1,18601,13211,0,,,,,,
24,0,8790,7115,0,,,,,,
25,1,8580,7273,0,,,,,,
26,1,9060,6913,0,,,,,,
28,1,17784,13296,0,,,,,,
29,1,18099,12621,0,,,,,,
30,4,9652,16951,0,,,28,40,1,18
31,1,6706,1816,0,,,,,,
Curve Pt Y,12,,,,,,,,
Curve Pt Z,12,,,,,,,,
Link Is Hidden,12,,false,,,,,,
Street Name Is Hidden,12,,false,,,,,,
Up ID,13,2,17,15,14,,,,
Lanes,13,2,2,2,0,,,,
Name,13,SR 87,SR 87,,Malibu Dr,,,,
Distance,13,1564,1902,173,311,,,,
Speed,13,30,30,30,30,,,,
Time,13,35.5,43.2,3.9,7.1,,,,
Grade,13,0,0,0,0,,,,
Median,13,24,24,0,0,,,,
Offset,13,0,0,0,0,,,,
TWLTL,13,0,0,0,0,,,,
Crosswalk Width,13,16,16,16,16,,,,
Mandatory Distance,13,200,200,200,200,,,,
Mandatory Distance2,13,1320,1320,1320,1320,,,,
Positioning Distance,13,880,880,880,880,,,,
Positioning Distance2,13,1760,1760,1760,1760,,,,
Curve Pt X,13,,,,,,,,
Curve Pt Y,13,,,,,,,,
Curve Pt Z,13,,,,,,,,
Link Is Hidden,13,false,false,false,false,,,,
Street Name Is Hidden,13,false,false,false,false,,,,
Up ID,14,,,13,,,,,
Lanes,14,,,2,,,,,
Name,14,,,Malibu Dr,,,,,
Distance,14,,,311,,,,,
Speed,14,,,30,,,,,
Time,14,,,7.1,,,,,
Grade,14,,,0,,,,,
Median,14,,,0,,,,,
Offset,14,,,0,,,,,
TWLTL,14,,,0,,,,,
Crosswalk Width,14,,,16,,,,,
Mandatory Distance,14,,,200,,,,,
Mandatory Distance2,14,,,1320,,,,,
Positioning Distance,14,,,880,,,,,
Positioning Distance2,14,,,1760,,,,,
Curve Pt X,14,,,,,,,,
Curve Pt Y,14,,,,,,,,
Curve Pt Z,14,,,,,,,,
Link Is Hidden,14,,,false,,,,,
Street Name Is Hidden,14,,,false,,,,,
Up ID,15,,,,13,,,16,
Lanes,15,,,,0,,,2,
Name,15,,,,,,,,
Distance,15,,,,173,,,94,
Speed,15,,,,30,,,30,
Time,15,,,,3.9,,,2.1,
Grade,15,,,,0,,,0,
Median,15,,,,0,,,0,
Offset,15,,,,0,,,0,
TWLTL,15,,,,0,,,0,
Crosswalk Width,15,,,,16,,,16,
Mandatory Distance,15,,,,100,,,100,
Mandatory Distance2,15,,,,1320,,,1320,
Positioning Distance,15,,,,880,,,880,
Positioning Distance2,15,,,,1760,,,1760,
Curve Pt X,15,,,,,,,,
Curve Pt Y,15,,,,,,,,
Curve Pt Z,15,,,,,,,,
Link Is Hidden,15,,,,false,,,false,
Street Name Is Hidden,15,,,,false,,,false,
Up ID,16,,,,,,15,,
Lanes,16,,,,,,0,,
Name,16,,,,,,,,
Distance,16,,,,,,94,,
Speed,16,,,,,,30,,
Time,16,,,,,,2.1,,
Grade,16,,,,,,0,,
Median,16,,,,,,0,,
Offset,16,,,,,,0,,
TWLTL,16,,,,,,0,,
Crosswalk Width,16,,,,,,16,,
Mandatory Distance,16,,,,,,200,,
Mandatory Distance2,16,,,,,,1320,,
Positioning Distance,16,,,,,,880,,
Positioning Distance2,16,,,,,,1760,,
Curve Pt X,16,,,,,,,,
Curve Pt Y,16,,,,,,,,
Curve Pt Z,16,,,,,,,,
Link Is Hidden,16,,,,,,false,,
Street Name Is Hidden,16,,,,,,false,,
Up ID,17,13,30,18,19,,,,
Lanes,17,4,3,2,2,,,,
Name,17,SR 87,SR 87,,Forest Dr,,,,
Distance,17,1902,2734,205,298,,,,
Speed,17,30,30,30,30,,,,
Time,17,43.2,62.1,4.7,6.8,,,,
Grade,17,0,0,0,0,,,,
Median,17,12,12,12,12,,,,
Offset,17,0,0,0,0,,,,
TWLTL,17,0,0,0,0,,,,
Crosswalk Width,17,16,16,16,16,,,,
Mandatory Distance,17,200,200,200,200,,,,
Mandatory Distance2,17,1320,1320,1320,1320,,,,
Positioning Distance,17,880,880,880,880,,,,
Positioning Distance2,17,1760,1760,1760,1760,,,,
Curve Pt X,17,,,,,,,,
Curve Pt Y,17,,,,,,,,
Curve Pt Z,17,,,,,,,,
Link Is Hidden,17,false,false,false,false,,,,
Street Name Is Hidden,17,false,false,false,false,,,,
Up ID,18,,,,17,,,,
Lanes,18,,,,1,,,,
Name,18,,,,,,,,
Distance,18,,,,205,,,,
Speed,18,,,,30,,,,
Time,18,,,,4.7,,,,
Grade,18,,,,0,,,,
Median,18,,,,12,,,,
Offset,18,,,,0,,,,
TWLTL,18,,,,0,,,,
Crosswalk Width,18,,,,16,,,,
Mandatory Distance,18,,,,200,,,,
Mandatory Distance2,18,,,,1320,,,,
Positioning Distance,18,,,,880,,,,
Positioning Distance2,18,,,,1760,,,,
Curve Pt X,18,,,,,,,,
Curve Pt Y,18,,,,,,,,
Curve Pt Z,18,,,,,,,,
Link Is Hidden,18,,,,false,,,,
Street Name Is Hidden,18,,,,false,,,,
Up ID,19,,,17,,,,,
Lanes,19,,,1,,,,,
Name,19,,,Forest Dr,,,,,
Distance,19,,,298,,,,,
Speed,19,,,30,,,,,
Time,19,,,6.8,,,,,
Grade,19,,,0,,,,,
Median,19,,,0,,,,,
Offset,19,,,0,,,,,
TWLTL,19,,,0,,,,,
Crosswalk Width,19,,,16,,,,,
Mandatory Distance,19,,,200,,,,,
Mandatory Distance2,19,,,1320,,,,,
Positioning Distance,19,,,880,,,,,
Positioning Distance2,19,,,1760,,,,,
Curve Pt X,19,,,,,,,,
Curve Pt Y,19,,,,,,,,
Curve Pt Z,19,,,,,,,,
Link Is Hidden,19,,,false,,,,,
Street Name Is Hidden,19,,,false,,,,,
Up ID,20,24,2,21,22,,,,
Lanes,20,3,3,1,1,,,,
Name,20,SR 87,SR 87,,Bonita St,,,,
Distance,20,2304,1475,220,248,,,,
Speed,20,30,30,30,30,,,,
Time,20,52.4,33.5,5.0,5.6,,,,
Grade,20,0,0,0,0,,,,
Median,20,12,12,0,0,,,,
Offset,20,0,0,0,0,,,,
TWLTL,20,0,0,0,0,,,,
Crosswalk Width,20,16,16,16,16,,,,
Mandatory Distance,20,229,229,229,229,,,,
Mandatory Distance2,20,1320,1320,1320,1320,,,,
Positioning Distance,20,880,880,880,880,,,,
Positioning Distance2,20,1760,1760,1760,1760,,,,
Curve Pt X,20,9461,,,,,,,
Curve Pt Y,20,8656,,,,,,,
Curve Pt Z,20,0,,,,,,,
Link Is Hidden,20,false,false,false,false,,,,
Street Name Is Hidden,20,false,false,false,false,,,,
Up ID,21,,,,20,,,,
Lanes,21,,,,1,,,,
Name,21,,,,,,,,
Distance,21,,,,220,,,,
Speed,21,,,,30,,,,
Time,21,,,,5.0,,,,
Grade,21,,,,0,,,,
Median,21,,,,0,,,,
Offset,21,,,,0,,,,
TWLTL,21,,,,0,,,,
Crosswalk Width,21,,,,16,,,,
Mandatory Distance,21,,,,200,,,,
Mandatory Distance2,21,,,,1320,,,,
Positioning Distance,21,,,,880,,,,
