[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,09/14/2021
ScenarioTime,4:38 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,2,9431,9004,0,,,,,,
2,1,10105,8320,0,,,,,,
3,0,9838,8704,0,,,,,,
4,1,10068,8935,0,,,,,,
5,1,3344,11879,0,,,,,,
6,0,2868,11874,0,,,,,,
7,2,3115,10595,0,,,,,,
8,4,1728,15276,0,,,28,40,1,18
9,1,2706,11853,0,,,,,,
10,2,6363,8862,0,,,,,,
11,1,810,17137,0,,,,,,
12,1,1459,15139,0,,,,,,
13,0,2164,14404,0,,,,,,
14,1,2616,14648,0,,,,,,
Curve Pt Y,14,,,,,,,,
Curve Pt Z,14,,,,,,,,
Link Is Hidden,14,,,false,,,,,
Street Name Is Hidden,14,,,false,,,,,
Up ID,15,,,,13,,,,
Lanes,15,,,,1,,,,
Name,15,,,,,,,,
Distance,15,,,,329,,,,
Speed,15,,,,30,,,,
Time,15,,,,7.5,,,,
Grade,15,,,,0,,,,
Median,15,,,,24,,,,
Offset,15,,,,0,,,,
TWLTL,15,,,,0,,,,
Crosswalk Width,15,,,,16,,,,
Mandatory Distance,15,,,,200,,,,
Mandatory Distance2,15,,,,1320,,,,
Positioning Distance,15,,,,880,,,,
Positioning Distance2,15,,,,1760,,,,
Curve Pt X,15,,,,,,,,
Curve Pt Y,15,,,,,,,,
Curve Pt Z,15,,,,,,,,
Link Is Hidden,15,,,,false,,,,
Street Name Is Hidden,15,,,,false,,,,
Up ID,16,,,8,,,,,
Lanes,16,,,1,,,,,
Name,16,,,,,,,,
Distance,16,,,264,,,,,
Speed,16,,,30,,,,,
Time,16,,,6.0,,,,,
Grade,16,,,0,,,,,
Median,16,,,0,,,,,
Offset,16,,,0,,,,,
TWLTL,16,,,0,,,,,
Crosswalk Width,16,,,16,,,,,
Mandatory Distance,16,,,200,,,,,
Mandatory Distance2,16,,,1320,,,,,
Positioning Distance,16,,,880,,,,,
Positioning Distance2,16,,,1760,,,,,
Curve Pt X,16,,,,,,,,
Curve Pt Y,16,,,,,,,,
Curve Pt Z,16,,,,,,,,
Link Is Hidden,16,,,false,,,,,
Street Name Is Hidden,16,,,false,,,,,
Up ID,17,8,20,,,18,,,19
Lanes,17,4,3,,,3,,,0
Name,17,,,,,,,,
Distance,17,747,932,,,551,,,375
Speed,17,30,30,,,30,,,30
Time,17,17.0,21.2,,,12.5,,,8.5
Grade,17,0,0,,,0,,,0
Median,17,12,12,,,12,,,12
Offset,17,0,0,,,0,,,0
TWLTL,17,0,0,,,0,,,0
Crosswalk Width,17,16,16,,,16,,,16
Mandatory Distance,17,200,200,,,200,,,200
Mandatory Distance2,17,1320,1320,,,1320,,,1320
Positioning Distance,17,880,880,,,880,,,880
Positioning Distance2,17,1760,1760,,,1760,,,1760
Curve Pt X,17,,,,,,,,
Curve Pt Y,17,,,,,,,,
Curve Pt Z,17,,,,,,,,
Link Is Hidden,17,false,false,,,false,,,false
Street Name Is Hidden,17,false,false,,,false,,,false
Up ID,18,,,,,,,,17
Lanes,18,,,,,,,,0
Name,18,,,,,,,,
Distance,18,,,,,,,,551
Speed,18,,,,,,,,30
Time,18,,,,,,,,12.5
Grade,18,,,,,,,,0
Median,18,,,,,,,,12
Offset,18,,,,,,,,0
TWLTL,18,,,,,,,,0
Crosswalk Width,18,,,,,,,,16
Mandatory Distance,18,,,,,,,,200
Mandatory Distance2,18,,,,,,,,1320
Positioning Distance,18,,,,,,,,880
Positioning Distance2,18,,,,,,,,1760
Curve Pt X,18,,,,,,,,
Curve Pt Y,18,,,,,,,,
Curve Pt Z,18,,,,,,,,
Link Is Hidden,18,,,,,,,,false
Street Name Is Hidden,18,,,,,,,,false
Up ID,19,,,,,17,,,
Lanes,19,,,,,2,,,
Name,19,,,,,,,,
Distance,19,,,,,375,,,
Speed,19,,,,,30,,,
Time,19,,,,,8.5,,,
Grade,19,,,,,0,,,
Median,19,,,,,0,,,
Offset,19,,,,,0,,,
TWLTL,19,,,,,0,,,
Crosswalk Width,19,,,,,16,,,
Mandatory Distance,19,,,,,200,,,
Mandatory Distance2,19,,,,,1320,,,
Positioning Distance,19,,,,,880,,,
Positioning Distance2,19,,,,,1760,,,
Curve Pt X,19,,,,,,,,
Curve Pt Y,19,,,,,,,,
Curve Pt Z,19,,,,,,,,
Link Is Hidden,19,,,,,false,,,
Street Name Is Hidden,19,,,,,false,,,
Up ID,20,17,11,,,22,,,21
Lanes,20,3,4,,,0,,,3
Name,20,,,,,,,,
Distance,20,932,395,,,279,,,603
Speed,20,30,30,,,30,,,30
Time,20,21.2,9.0,,,6.3,,,13.7
Grade,20,0,0,,,0,,,0
Median,20,12,12,,,12,,,12
Offset,20,0,0,,,0,,,0
TWLTL,20,0,0,,,0,,,0
Crosswalk Width,20,16,16,,,16,,,16
Mandatory Distance,20,200,200,,,200,,,200
Mandatory Distance2,20,1320,1320,,,1320,,,1320
Positioning Distance,20,880,880,,,880,,,880
Positioning Distance2,20,1760,1760,,,1760,,,1760
Curve Pt X,20,,,,,,,,
Curve Pt Y,20,,,,,,,,
Curve Pt Z,20,,,,,,,,
Link Is Hidden,20,false,false,,,false,,,false
Street Name Is Hidden,20,false,false,,,false,,,false
Up ID,21,,,,,20,,,
Lanes,21,,,,,0,,,
Name,21,,,,,,,,
Distance,21,,,,,603,,,
Speed,21,,,,,30,,,
Time,21,,,,,13.7,,,
Grade,21,,,,,0,,,
