Mandatory Distance,237,,,200,,,,
Mandatory Distance2,237,,,1101,,,,
Positioning Distance,237,,,734,,,,
Positioning Distance2,237,,,1468,,,,
Curve Pt X,237,,,,,,,
Curve Pt Y,237,,,,,,,
Curve Pt Z,237,,,,,,,
Link Is Hidden,237,,,false,,,,
Street Name Is Hidden,237,,,false,,,,
Up ID,251,,,102,,,,
Lanes,251,,,2,,,,
Name,251,,,101 East,,,,
Distance,251,,,943,,,,
Speed,251,,,30,,,,
Time,251,,,21.4,,,,
Grade,251,,,0,,,,
Median,251,,,0,,,,
Offset,251,,,0,,,,
TWLTL,251,,,0,,,,
Crosswalk Width,251,,,16,,,,
Mandatory Distance,251,,,200,,,,
Mandatory Distance2,251,,,1320,,,,
Positioning Distance,251,,,880,,,,
Positioning Distance2,251,,,1760,,,,
Curve Pt X,251,,,,,,,
Curve Pt Y,251,,,,,,,
Curve Pt Z,251,,,,,,,
Link Is Hidden,251,,,false,,,,
Street Name Is Hidden,251,,,false,,,,
Up ID,277,103,3825,,,,,
Lanes,277,2,*3,,,,,
Name,277,67th Ave.,67th Ave.,,,,,
Distance,277,392,858,,,,,
Speed,277,40,40,,,,,
Time,277,6.7,14.6,,,,,
Grade,277,0,0,,,,,
Median,277,12,12,,,,,
Offset,277,0,0,,,,,
TWLTL,277,0,0,,,,,
Crosswalk Width,277,16,16,,,,,
Mandatory Distance,277,100,100,,,,,
Mandatory Distance2,277,1761,1761,,,,,
Positioning Distance,277,1174,1174,,,,,
Positioning Distance2,277,2348,2348,,,,,
Curve Pt X,277,,,,,,,
Curve Pt Y,277,,,,,,,
Curve Pt Z,277,,,,,,,
Link Is Hidden,277,false,false,,,,,
Street Name Is Hidden,277,false,false,,,,,
Up ID,300,,,,3750,,,
Lanes,300,,,,1,,,
Name,300,,,,Utopia Rd,,,
Distance,300,,,,1552,,,
Speed,300,,,,30,,,
Time,300,,,,35.3,,,
Grade,300,,,,0,,,
Median,300,,,,0,,,
Offset,300,,,,0,,,
TWLTL,300,,,,0,,,
Crosswalk Width,300,,,,16,,,
Mandatory Distance,300,,,,200,,,
Mandatory Distance2,300,,,,1320,,,
Positioning Distance,300,,,,880,,,
Positioning Distance2,300,,,,1760,,,
Curve Pt X,300,,,,,,,
Curve Pt Y,300,,,,,,,
Curve Pt Z,300,,,,,,,
Link Is Hidden,300,,,,false,,,
Street Name Is Hidden,300,,,,false,,,
Up ID,341,218,233,,,,,
Lanes,341,1,1,,,,,
Name,341,,,,,,,
Distance,341,2690,1349,,,,,
Speed,341,30,25,,,,,
Time,341,61.1,36.8,,,,,
Grade,341,0,0,,,,,
Median,341,0,0,,,,,
Offset,341,0,0,,,,,
TWLTL,341,0,0,,,,,
Crosswalk Width,341,16,16,,,,,
Mandatory Distance,341,100,100,,,,,
Mandatory Distance2,341,1320,1101,,,,,
Positioning Distance,341,880,734,,,,,
Positioning Distance2,341,1760,1468,,,,,
Curve Pt X,341,7231,,,,,,
Curve Pt Y,341,21417,,,,,,
Curve Pt Z,341,0,,,,,,
Link Is Hidden,341,false,false,,,,,
Street Name Is Hidden,341,false,false,,,,,
Up ID,374,,,,,219,,375
Lanes,374,,,,,1,,1
Name,374,,,,,,,
Distance,374,,,,,2195,,560
Speed,374,,,,,30,,30
Time,374,,,,,49.9,,12.7
Grade,374,,,,,0,,0
Median,374,,,,,0,,0
Offset,374,,,,,0,,0
TWLTL,374,,,,,0,,0
Crosswalk Width,374,,,,,16,,16
Mandatory Distance,374,,,,,100,,100
Mandatory Distance2,374,,,,,1320,,1320
Positioning Distance,374,,,,,880,,880
Positioning Distance2,374,,,,,1760,,1760
Curve Pt X,374,,,,,12086,,13110
Curve Pt Y,374,,,,,19758,,20572
Curve Pt Z,374,,,,,0,,0
Link Is Hidden,374,,,,,false,,false
Street Name Is Hidden,374,,,,,false,,false
Up ID,375,374,,,,,,203
Lanes,375,1,,,,,,1
Name,375,,,,,,,
Distance,375,560,,,,,,2149
Speed,375,30,,,,,,30
Time,375,12.7,,,,,,48.8
Grade,375,0,,,,,,0
Median,375,0,,,,,,0
Offset,375,0,,,,,,0
TWLTL,375,0,,,,,,0
Crosswalk Width,375,16,,,,,,16
Mandatory Distance,375,100,,,,,,100
Mandatory Distance2,375,1320,,,,,,1320
Positioning Distance,375,880,,,,,,880
Positioning Distance2,375,1760,,,,,,1760
Curve Pt X,375,13241,,,,,,13837
Curve Pt Y,375,20547,,,,,,21239
Curve Pt Z,375,0,,,,,,0
Link Is Hidden,375,false,,,,,,false
Street Name Is Hidden,375,false,,,,,,false
Up ID,383,,118,,,,,
Lanes,383,,1,,,,,
Name,383,,64th Dr,,,,,
Distance,383,,471,,,,,
Speed,383,,30,,,,,
Time,383,,10.7,,,,,
Grade,383,,0,,,,,
Median,383,,0,,,,,
Offset,383,,0,,,,,
TWLTL,383,,0,,,,,
Crosswalk Width,383,,16,,,,,
Mandatory Distance,383,,200,,,,,
Mandatory Distance2,383,,1320,,,,,
Positioning Distance,383,,880,,,,,
Positioning Distance2,383,,1760,,,,,
Curve Pt X,383,,,,,,,
Curve Pt Y,383,,,,,,,
Curve Pt Z,383,,,,,,,
Link Is Hidden,383,,false,,,,,
Street Name Is Hidden,383,,false,,,,,
Up ID,384,,,,3900,,,
Lanes,384,,,,1,,,
Name,384,,,,Deer Valley Rd.,,,
Distance,384,,,,2620,,,
Speed,384,,,,35,,,
Time,384,,,,51.0,,,
Grade,384,,,,0,,,
Median,384,,,,12,,,
Offset,384,,,,0,,,
TWLTL,384,,,,0,,,
Crosswalk Width,384,,,,16,,,
Mandatory Distance,384,,,,200,,,
Mandatory Distance2,384,,,,1539,,,
Positioning Distance,384,,,,1026,,,
Positioning Distance2,384,,,,2052,,,
Curve Pt X,384,,,,,,,
Curve Pt Y,384,,,,,,,
Curve Pt Z,384,,,,,,,
Link Is Hidden,384,,,,false,,,
Street Name Is Hidden,384,,,,false,,,
Up ID,2915,,,3700,,,,
Lanes,2915,,,2,,,,
Name,2915,,,Union Hills Dr,,,,
Distance,2915,,,1245,,,,
Speed,2915,,,45,,,,
Time,2915,,,18.9,,,,
Grade,2915,,,0,,,,
Median,2915,,,12,,,,
Offset,2915,,,0,,,,
TWLTL,2915,,,0,,,,
Crosswalk Width,2915,,,16,,,,
Mandatory Distance,2915,,,200,,,,
Mandatory Distance2,2915,,,1980,,,,
Positioning Distance,2915,,,1320,,,,
Positioning Distance2,2915,,,2640,,,,
Curve Pt X,2915,,,11418,,,,
Curve Pt Y,2915,,,13538,,,,
Curve Pt Z,2915,,,0,,,,
Link Is Hidden,2915,,,false,,,,
Street Name Is Hidden,2915,,,false,,,,
Up ID,3600,,3700,,,,,
Lanes,3600,,2,,,,,
Name,3600,,67th Ave.,,,,,
Distance,3600,,5248,,,,,
Speed,3600,,40,,,,,
Time,3600,,89.5,,,,,
Grade,3600,,0,,,,,
Median,3600,,12,,,,,
Offset,3600,,0,,,,,
TWLTL,3600,,0,,,,,
Crosswalk Width,3600,,16,,,,,
Mandatory Distance,3600,,200,,,,,
Mandatory Distance2,3600,,1761,,,,,
Positioning Distance,3600,,1174,,,,,
Positioning Distance2,3600,,2348,,,,,
Curve Pt X,3600,,,,,,,
Curve Pt Y,3600,,,,,,,
Curve Pt Z,3600,,,,,,,
Link Is Hidden,3600,,false,,,,,
Street Name Is Hidden,3600,,false,,,,,
Up ID,3700,3600,3725,4400,2915,,,
