[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/19/2018
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-3975,1616,0,,,,,,
2,0,-2660,1620,0,,,,,,
3,0,-15,1608,0,,,,,,
4,0,705,1603,0,,,,,,
5,0,1320,1586,0,,,,,,
6,0,18,-997,0,,,,,,
7,0,835,-1,0,,,,,,
8,0,735,-989,0,,,,,,
9,0,1410,97,0,,,,,,
10,0,1475,-989,0,,,,,,
11,0,-27,-144,0,,,,,,
36,1,120,-146,0,,,,,,
901,1,-5250,1621,0,,,,,,
902,1,-3970,4166,0,,,,,,
903,1,-2680,4172,0,,,,,,
904,1,-70,4159,0,,,,,,
905,1,727,4159,0,,,,,,
906,1,1311,4159,0,,,,,,
907,1,2656,1571,0,,,,,,
908,1,-3955,324,0,,,,,,
909,1,-2632,-932,0,,,,,,
910,1,-2609,-999,0,,,,,,
911,1,-1254,62,0,,,,,,
912,1,-1654,-107,0,,,,,,
913,1,575,90,0,,,,,,
914,1,750,-182,0,,,,,,
Mandatory Distance2,36,,,,1320,,
Positioning Distance,36,,,,880,,
Positioning Distance2,36,,,,1760,,
Curve Pt X,36,,,,,,
Curve Pt Y,36,,,,,,
Curve Pt Z,36,,,,,,
Link Is Hidden,36,,,,false,,
Street Name Is Hidden,36,,,,false,,
Up ID,901,,,,1,,
Lanes,901,,,,3,,
Name,901,,,,McDowell Road,,
Distance,901,,,,1275,,
Speed,901,,,,35,,
Time,901,,,,24.8,,
Grade,901,,,,0,,
Median,901,,,,12,,
Offset,901,,,,0,,
TWLTL,901,,,,0,,
Crosswalk Width,901,,,,16,,
Mandatory Distance,901,,,,200,,
Mandatory Distance2,901,,,,1539,,
Positioning Distance,901,,,,1026,,
Positioning Distance2,901,,,,2052,,
Curve Pt X,901,,,,,,
Curve Pt Y,901,,,,,,
Curve Pt Z,901,,,,,,
Link Is Hidden,901,,,,false,,
Street Name Is Hidden,901,,,,false,,
Up ID,902,1,,,,,
Lanes,902,2,,,,,
Name,902,17th Avenue,,,,,
Distance,902,2550,,,,,
Speed,902,25,,,,,
Time,902,69.5,,,,,
Grade,902,0,,,,,
Median,902,0,,,,,
Offset,902,0,,,,,
TWLTL,902,0,,,,,
Crosswalk Width,902,16,,,,,
Mandatory Distance,902,200,,,,,
Mandatory Distance2,902,1101,,,,,
Positioning Distance,902,734,,,,,
Positioning Distance2,902,1468,,,,,
Curve Pt X,902,,,,,,
Curve Pt Y,902,,,,,,
Curve Pt Z,902,,,,,,
Link Is Hidden,902,false,,,,,
Street Name Is Hidden,902,false,,,,,
Up ID,903,2,,,,,
Lanes,903,1,,,,,
Name,903,15th Avenue,,,,,
Distance,903,2552,,,,,
Speed,903,35,,,,,
Time,903,49.7,,,,,
Grade,903,0,,,,,
Median,903,12,,,,,
Offset,903,0,,,,,
TWLTL,903,0,,,,,
Crosswalk Width,903,16,,,,,
Mandatory Distance,903,200,,,,,
Mandatory Distance2,903,1539,,,,,
Positioning Distance,903,1026,,,,,
Positioning Distance2,903,2052,,,,,
Curve Pt X,903,,,,,,
Curve Pt Y,903,,,,,,
Curve Pt Z,903,,,,,,
Link Is Hidden,903,false,,,,,
Street Name Is Hidden,903,false,,,,,
Up ID,904,3,,,,,
Lanes,904,3,,,,,
Name,904,7th Avenue,,,,,
Distance,904,2552,,,,,
Speed,904,35,,,,,
Time,904,49.7,,,,,
Grade,904,0,,,,,
Median,904,12,,,,,
Offset,904,0,,,,,
TWLTL,904,1,,,,,
Crosswalk Width,904,16,,,,,
Mandatory Distance,904,200,,,,,
Mandatory Distance2,904,1539,,,,,
Positioning Distance,904,1026,,,,,
Positioning Distance2,904,2052,,,,,
Curve Pt X,904,,,,,,
Curve Pt Y,904,,,,,,
Curve Pt Z,904,,,,,,
Link Is Hidden,904,false,,,,,
Street Name Is Hidden,904,false,,,,,
Up ID,905,4,,,,,
Lanes,905,*0,,,,,
Name,905,5th Avenue,,,,,
Distance,905,2556,,,,,
