[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-7,-1094,0,,,,,,
2,1,2406,-1132,0,,,,,,
3,0,873,-1093,0,,,,,,
4,1,845,2,0,,,,,,
5,1,1123,-1992,0,,,,,,
6,0,1305,-1090,0,,,,,,
7,1,1038,11,0,,,,,,
8,1,1299,-1990,0,,,,,,
9,0,1660,-1089,0,,,,,,
Alignment,9,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,9,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,9,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,9,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,9,20,100,,20,100,20,20,100,,20,100,,,
LastDetect,9,0,0,,0,0,0,0,0,,0,0,,,
DetectPhase1,9,2,2,,2,2,2,3,3,,1,1,,,
DetectPhase2,9,0,0,,0,0,3,4,4,,0,0,,,
DetectPhase3,9,0,0,,0,0,4,5,5,,0,0,,,
DetectPhase4,9,0,0,,0,0,0,0,0,,0,0,,,
SwitchPhase,9,0,0,,0,0,0,0,0,,0,0,,,
numDetects,9,1,2,,1,2,1,1,2,,1,2,,,
DetectPos1,9,0,0,,0,0,0,0,0,,0,0,,,
DetectSize1,9,20,6,,20,6,20,20,6,,20,6,,,
DetectType1,9,3,3,,3,3,3,3,3,,3,3,,,
DetectExtend1,9,0,0,,0,0,0,0,0,,0,0,,,
DetectQueue1,9,0,0,,0,0,0,0,0,,0,0,,,
DetectDelay1,9,0,0,,0,0,0,0,0,,0,0,,,
DetectPos2,9,,94,,,94,,,94,,,94,,,
DetectSize2,9,,6,,,6,,,6,,,6,,,
DetectType2,9,,3,,,3,,,3,,,3,,,
DetectExtend2,9,,0,,,0,,,0,,,0,,,
Exit Lanes,9,,0,,,0,,,0,,,0,,,
CBD,9,,0,,,,,,,,,,,,
Lane Group Flow,9,21,31,0,0,13,20,216,190,0,66,588,0,,
Up Node,12,,,,13,,13,1,1,,,15,15,,
Dest Node,12,,,,15,,1,13,15,,,1,13,,
Lanes,12,,,,1,,1,1,1,,,1,0,,
Shared,12,,,,0,,,0,1,,,2,,,
Width,12,,,,12,,12,12,12,,,12,12,,
Storage,12,,,,,,25,60,,,,,,,
Taper,12,,,,,,25,25,,,,,,,
StLanes,12,,,,,,1,1,,,,,,,
Grade,12,,,,,,,,,,,,,,
Speed,12,,,,50,,,,55,,,30,,,
SignControl,12,,,,1,,,,0,,,0,,,
IdealFlow,12,,,,1900,,1900,1900,1900,,,1900,1900,,
SatFlow,12,,,,1770,,1583,1681,1719,,,1656,0,,
SatFlowPerm,12,,,,1770,,1583,1681,1719,,,1656,0,,
Allow RTOR,12,,,,1,,1,1,1,,,1,1,,
SatFlowRTOR,12,,,,0,,0,0,0,,,0,0,,
Volume,12,,,,322,,4,8,161,,,52,247,,
Peds,12,,,,0,,0,0,0,,,0,0,,
