[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,05/19/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,3,2405,-1648,0,,,,,,
2,3,2398,-2913,0,,,,,,
3,0,2390,-4253,0,,,,,,
4,3,4431,-4273,0,,,,,,
5,3,4910,-4270,0,,,,,,
6,3,7680,-4267,0,,,,,,
7,3,2395,-3490,0,,,,,,
8,3,2387,-3846,0,,,,,,
9,3,3085,-4256,0,,,,,,
10,3,3770,-4260,0,,,,,,
11,1,3431,-2891,0,,,,,,
12,1,2411,-701,0,,,,,,
13,1,7681,-3011,0,,,,,,
14,1,1571,-4251,0,,,,,,
15,1,4419,-4964,0,,,,,,
16,1,9421,-4271,0,,,,,,
17,1,4896,-4948,0,,,,,,
18,1,7677,-4784,0,,,,,,
19,1,81,-1641,0,,,,,,
TWLTL,12,0,,,
Crosswalk Width,12,16,,,
Mandatory Distance,12,200,,,
Mandatory Distance2,12,1320,,,
Positioning Distance,12,880,,,
Positioning Distance2,12,1760,,,
Curve Pt X,12,,,,
Curve Pt Y,12,,,,
Curve Pt Z,12,,,,
Link Is Hidden,12,false,,,
Street Name Is Hidden,12,false,,,
Up ID,13,6,,,
Lanes,13,1,,,
Name,13,Trekell Road,,,
Distance,13,1256,,,
Speed,13,30,,,
Time,13,28.5,,,
Grade,13,0,,,
Median,13,0,,,
Offset,13,0,,,
TWLTL,13,0,,,
Crosswalk Width,13,16,,,
Mandatory Distance,13,200,,,
Mandatory Distance2,13,1320,,,
Positioning Distance,13,880,,,
Positioning Distance2,13,1760,,,
Curve Pt X,13,,,,
Curve Pt Y,13,,,,
Curve Pt Z,13,,,,
Link Is Hidden,13,false,,,
Street Name Is Hidden,13,false,,,
Up ID,14,,,,3
Lanes,14,,,,1
Name,14,,,,Val Vista Boulevard
Distance,14,,,,819
Speed,14,,,,30
Time,14,,,,18.6
Grade,14,,,,0
Median,14,,,,12
Offset,14,,,,0
TWLTL,14,,,,0
Crosswalk Width,14,,,,16
Mandatory Distance,14,,,,200
Mandatory Distance2,14,,,,1320
Positioning Distance,14,,,,880
Positioning Distance2,14,,,,1760
Curve Pt X,14,,,,
Curve Pt Y,14,,,,
Curve Pt Z,14,,,,
Link Is Hidden,14,,,,false
Street Name Is Hidden,14,,,,false
Up ID,15,,4,,
Lanes,15,,1,,
Name,15,,West CGPD Driveway,,
Distance,15,,691,,
Speed,15,,30,,
Time,15,,15.7,,
Grade,15,,0,,
Median,15,,0,,
Offset,15,,0,,
TWLTL,15,,0,,
Crosswalk Width,15,,16,,
Mandatory Distance,15,,200,,
Mandatory Distance2,15,,1320,,
Positioning Distance,15,,880,,
Positioning Distance2,15,,1760,,
Curve Pt X,15,,,,
Curve Pt Y,15,,,,
Curve Pt Z,15,,,,
Link Is Hidden,15,,false,,
Street Name Is Hidden,15,,false,,
Up ID,16,,,6,
Lanes,16,,,1,
Name,16,,,Val Vista Boulevard,
Distance,16,,,1741,
Speed,16,,,30,
Time,16,,,39.6,
Grade,16,,,0,
Median,16,,,0,
Offset,16,,,0,
TWLTL,16,,,0,
Crosswalk Width,16,,,16,
Mandatory Distance,16,,,200,
Mandatory Distance2,16,,,1320,
Positioning Distance,16,,,880,
Positioning Distance2,16,,,1760,
Curve Pt X,16,,,,
Curve Pt Y,16,,,,
Curve Pt Z,16,,,,
Link Is Hidden,16,,,false,
Street Name Is Hidden,16,,,false,
Up ID,17,,5,,
Lanes,17,,1,,
Name,17,,East CGPD Driveway,,
Distance,17,,678,,
Speed,17,,30,,
Time,17,,15.4,,
Grade,17,,0,,
Median,17,,0,,
Offset,17,,0,,
TWLTL,17,,0,,
Crosswalk Width,17,,16,,
Mandatory Distance,17,,200,,
Mandatory Distance2,17,,1320,,
Positioning Distance,17,,880,,
Positioning Distance2,17,,1760,,
Curve Pt X,17,,,,
Curve Pt Y,17,,,,
Curve Pt Z,17,,,,
Link Is Hidden,17,,false,,
Street Name Is Hidden,17,,false,,
Up ID,18,,6,,
Lanes,18,,1,,
Name,18,,,,
Distance,18,,517,,
Speed,18,,30,,
Time,18,,11.8,,
Grade,18,,0,,
Median,18,,0,,
Offset,18,,0,,
TWLTL,18,,0,,
Crosswalk Width,18,,16,,
Mandatory Distance,18,,200,,
Mandatory Distance2,18,,1320,,
Positioning Distance,18,,880,,
Positioning Distance2,18,,1760,,
Curve Pt X,18,,,,
Curve Pt Y,18,,,,
Curve Pt Z,18,,,,
Link Is Hidden,18,,false,,
Street Name Is Hidden,18,,false,,
Up ID,19,,,,1
Lanes,19,,,,1
Name,19,,,,Hopi Drive
Distance,19,,,,2324
Speed,19,,,,30
Time,19,,,,52.8
Grade,19,,,,0
Median,19,,,,0
Offset,19,,,,0
TWLTL,19,,,,0
Crosswalk Width,19,,,,16
Mandatory Distance,19,,,,200
Mandatory Distance2,19,,,,1320
Positioning Distance,19,,,,880
Positioning Distance2,19,,,,1760
Curve Pt X,19,,,,
Curve Pt Y,19,,,,
Curve Pt Z,19,,,,
Link Is Hidden,19,,,,false
Street Name Is Hidden,19,,,,false
Up ID,20,,,7,
Lanes,20,,,1,
Name,20,,,Driveway A,
Distance,20,,,402,
Speed,20,,,30,
Time,20,,,9.1,
Grade,20,,,0,
Median,20,,,0,
Offset,20,,,0,
TWLTL,20,,,0,
Crosswalk Width,20,,,16,
Mandatory Distance,20,,,200,
Mandatory Distance2,20,,,1320,
Positioning Distance,20,,,880,
Positioning Distance2,20,,,1760,
Curve Pt X,20,,,,
Curve Pt Y,20,,,,
Curve Pt Z,20,,,,
Link Is Hidden,20,,,false,
Street Name Is Hidden,20,,,false,
Up ID,21,,,1,
Lanes,21,,,1,
Name,21,,,Hopi Drive,
Distance,21,,,1046,
Speed,21,,,30,
Time,21,,,23.8,
Grade,21,,,0,
Median,21,,,0,
Offset,21,,,0,
TWLTL,21,,,0,
Crosswalk Width,21,,,16,
Mandatory Distance,21,,,200,
Mandatory Distance2,21,,,1320,
Positioning Distance,21,,,880,
Positioning Distance2,21,,,1760,
Curve Pt X,21,,,,
Curve Pt Y,21,,,,
Curve Pt Z,21,,,,
Link Is Hidden,21,,,false,
Street Name Is Hidden,21,,,false,
Up ID,22,,,8,
Lanes,22,,,1,
Name,22,,,Driveway B,
Distance,22,,,424,
Speed,22,,,30,
Time,22,,,9.6,
Grade,22,,,0,
Median,22,,,0,
Offset,22,,,0,
TWLTL,22,,,0,
Crosswalk Width,22,,,16,
Mandatory Distance,22,,,200,
Mandatory Distance2,22,,,1320,
Positioning Distance,22,,,880,
Positioning Distance2,22,,,1760,
Curve Pt X,22,,,,
Curve Pt Y,22,,,,
Curve Pt Z,22,,,,
Link Is Hidden,22,,,false,
Street Name Is Hidden,22,,,false,
Up ID,23,4,,,
Lanes,23,1,,,
Name,23,Driveway E,,,
