RECORDNAME,INTID,NB,SB,EB,WB,NE,SW
Offset,22,0,0,0,0,,
TWLTL,22,0,0,0,1,,
Crosswalk Width,22,16,16,16,16,,
Mandatory Distance,22,416,416,416,416,,
Mandatory Distance2,22,1539,1101,1761,1761,,
Positioning Distance,22,1026,734,1174,1174,,
Positioning Distance2,22,2052,1468,2348,2348,,
Curve Pt X,22,,,,,,
Curve Pt Y,22,,,,,,
Curve Pt Z,22,,,,,,
Link Is Hidden,22,false,false,false,false,,
Street Name Is Hidden,22,false,false,true,false,,
Up ID,23,22,,,,,
Lanes,23,1,,,,,
Name,23,Napier Dr.,,,,,
Distance,23,375,,,,,
Speed,23,25,,,,,
Time,23,10.2,,,,,
Grade,23,0,,,,,
Median,23,0,,,,,
Offset,23,0,,,,,
TWLTL,23,0,,,,,
Crosswalk Width,23,16,,,,,
Mandatory Distance,23,200,,,,,
Mandatory Distance2,23,1101,,,,,
Positioning Distance,23,734,,,,,
Positioning Distance2,23,1468,,,,,
Curve Pt X,23,,,,,,
Curve Pt Y,23,,,,,,
Curve Pt Z,23,,,,,,
Link Is Hidden,23,false,,,,,
Street Name Is Hidden,23,false,,,,,
Up ID,24,,22,,,,
Lanes,24,,2,,,,
Name,24,,Hamilton Place Blvd.,,,,
Distance,24,,506,,,,
Speed,24,,35,,,,
Time,24,,9.9,,,,
Grade,24,,0,,,,
Median,24,,0,,,,
Offset,24,,0,,,,
TWLTL,24,,0,,,,
Crosswalk Width,24,,16,,,,
Mandatory Distance,24,,200,,,,
Mandatory Distance2,24,,1539,,,,
Positioning Distance,24,,1026,,,,
Positioning Distance2,24,,2052,,,,
Curve Pt X,24,,,,,,
Curve Pt Y,24,,,,,,
Curve Pt Z,24,,,,,,
Link Is Hidden,24,,false,,,,
Street Name Is Hidden,24,,false,,,,
Up ID,25,,,,,,33
Lanes,25,,,,,,2
Name,25,,,,,,Lee Hwy
Distance,25,,,,,,1289
Speed,25,,,,,,40
Time,25,,,,,,22.0
Grade,25,,,,,,0
Median,25,,,,,,12
Offset,25,,,,,,0
TWLTL,25,,,,,,0
Crosswalk Width,25,,,,,,16
Mandatory Distance,25,,,,,,200
Mandatory Distance2,25,,,,,,1761
Positioning Distance,25,,,,,,1174
Positioning Distance2,25,,,,,,2348
Curve Pt X,25,,,,,,
Curve Pt Y,25,,,,,,
Curve Pt Z,25,,,,,,
Link Is Hidden,25,,,,,,false
Street Name Is Hidden,25,,,,,,false
Up ID,33,,,2,4,25,58
Lanes,33,,,5,5,5,4
Name,33,,,Shallowford Rd.,Shallowford Rd.,Lee Hwy,Lee Hwy
Distance,33,,,1272,1377,1289,1655
Speed,33,,,40,40,40,40
Time,33,,,21.7,23.5,22.0,28.2
Grade,33,,,0,0,0,0
Median,33,,,24,24,12,12
Offset,33,,,0,0,0,0
TWLTL,33,,,1,1,0,1
Crosswalk Width,33,,,16,16,16,16
Mandatory Distance,33,,,416,416,416,416
Mandatory Distance2,33,,,1761,1761,1761,1761
Positioning Distance,33,,,1174,1174,1174,1174
Positioning Distance2,33,,,2348,2348,2348,2348
Curve Pt X,33,,,,,,
Curve Pt Y,33,,,,,,
Curve Pt Z,33,,,,,,
Link Is Hidden,33,,,false,false,false,false
Street Name Is Hidden,33,,,false,false,false,false
Up ID,58,,,,,33,
Lanes,58,,,,,*2,
Name,58,,,,,Lee Hwy,
Distance,58,,,,,1655,
Speed,58,,,,,40,
Time,58,,,,,28.2,
Grade,58,,,,,0,
Median,58,,,,,12,
Offset,58,,,,,0,
TWLTL,58,,,,,1,
Crosswalk Width,58,,,,,16,
Mandatory Distance,58,,,,,200,
Mandatory Distance2,58,,,,,1761,
Positioning Distance,58,,,,,1174,
Positioning Distance2,58,,,,,2348,
Curve Pt X,58,,,,,,
Curve Pt Y,58,,,,,,
Curve Pt Z,58,,,,,,
Link Is Hidden,58,,,,,false,
Street Name Is Hidden,58,,,,,false,
