[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/03/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-2456,151,0,,,,,,
2,1,-1023,511,0,,,,,,
3,1,-1146,-875,0,,,,,,
4,1,2805,-744,0,,,,,,
5,1,2809,351,0,,,,,,
6,3,969,-124,0,,,,,,
7,1,4450,199,0,,,,,,
8,1,4446,-335,0,,,,,,
9,1,-535,-544,0,,,,,,
10,1,-2462,-785,0,,,,,,
11,0,-5105,-140,0,,,,,,
12,0,-3602,-124,0,,,,,,
13,0,-2455,-124,0,,,,,,
14,0,-1132,-117,0,,,,,,
15,0,45,-121,0,,,,,,
16,0,1505,-125,0,,,,,,
17,0,2809,-123,0,,,,,,
18,0,4446,-116,0,,,,,,
19,0,5440,-115,0,,,,,,
20,1,-3609,-388,0,,,,,,
21,1,970,235,0,,,,,,
22,1,968,-479,0,,,,,,
23,1,-522,137,0,,,,,,
24,2,-5484,-144,0,,,,,,
101,1,-7205,-144,0,,,,,,
102,1,-5099,1187,0,,,,,,
103,1,-1208,1488,0,,,,,,
104,1,275,453,0,,,,,,
105,1,1588,534,0,,,,,,
106,1,5440,1186,0,,,,,,
Time,16,10.4,15.3,9.1,6.3,,
Grade,16,0,0,0,0,,
Median,16,12,12,12,12,,
Offset,16,0,0,0,0,,
TWLTL,16,0,1,0,0,,
Crosswalk Width,16,16,16,16,16,,
Mandatory Distance,16,575,575,575,575,,
Mandatory Distance2,16,1101,1320,1761,1761,,
Positioning Distance,16,734,880,1174,1174,,
Positioning Distance2,16,1468,1760,2348,2348,,
Curve Pt X,16,,1498,,,,
Curve Pt Y,16,,82,,,,
Curve Pt Z,16,,0,,,,
Link Is Hidden,16,false,false,false,false,,
Street Name Is Hidden,16,false,false,false,false,,
Up ID,17,4,5,2002,18,,
Lanes,17,2,3,4,3,,
Name,17,N 23rd Ave,N 23rd Ave,Dunlap Ave,Dunlap Ave,,
Distance,17,621,474,937,1637,,
Speed,17,30,25,40,40,,
Time,17,14.1,12.9,16.0,27.9,,
Grade,17,0,0,0,0,,
Median,17,12,12,12,12,,
Offset,17,0,0,0,0,,
TWLTL,17,0,0,0,1,,
Crosswalk Width,17,16,16,16,16,,
Mandatory Distance,17,575,575,575,575,,
Mandatory Distance2,17,1320,1101,1761,1761,,
Positioning Distance,17,880,734,1174,1174,,
Positioning Distance2,17,1760,1468,2348,2348,,
Curve Pt X,17,,,,,,
Curve Pt Y,17,,,,,,
Curve Pt Z,17,,,,,,
Link Is Hidden,17,false,false,false,false,,
Street Name Is Hidden,17,false,false,false,false,,
Up ID,18,8,7,17,19,,
Lanes,18,3,2,4,3,,
Name,18,C St,C St,Dunlap Ave,Dunlap Ave,,
Distance,18,219,315,1637,994,,
Speed,18,25,25,40,40,,
Time,18,6.0,8.6,27.9,16.9,,
Grade,18,0,0,0,0,,
Median,18,12,12,12,12,,
Offset,18,0,0,0,0,,
TWLTL,18,0,0,1,1,,
